ID	Term	Database	Input.a	Input.b	Input.c	Input.d	Pfisher	Pfisher_bon	Source
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	Reactome	TRAF3|PPP2R1B|NFKBIA|TLR1	DUSP4|RELA|MAP3K8	IKBKB|PTPN11|CHUK|CASP8	FADD|CCK|CD36|S100B	3.74995188578518e-08	0.000787339897939457	turquoise
R-HSA-168898	Toll-like Receptor Cascades	Reactome	TRAF3|PPP2R1B|NFKBIA|TLR1	DUSP4|RELA|MAP3K8	IKBKB|PTPN11|CHUK|CASP8	CCK|FADD|S100A8|CD36|S100B	4.82183397569753e-08	0.00101239226153745	turquoise
R-HSA-166166	MyD88-independent TLR4 cascade 	Reactome	PPP2R1B|NFKBIA|TRAF3	DUSP4|RELA|MAP3K8	IKBKB|PTPN11|CHUK|CASP8	FADD|CCK|S100B	1.01997001694664e-07	0.00214152904758117	turquoise
R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	Reactome	PPP2R1B|NFKBIA|TRAF3	DUSP4|RELA|MAP3K8	IKBKB|PTPN11|CHUK|CASP8	FADD|CCK|S100B	1.01997001694664e-07	0.00214152904758117	turquoise
R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	Reactome	PPP2R1B|NFKBIA|TRAF3	DUSP4|RELA|MAP3K8	IKBKB|CHUK|CASP8	FADD|CCK|S100B	6.6449991398308e-07	0.0139518401939887	turquoise
GO:0051897	positive regulation of protein kinase B signaling	Gene Ontology	ERBB3|CD86|FLG|CCR7	AREG|IRS2|PIK3R1	SRC|TGFBR1|PTK2|PTPN11|KIT|TNF|HSP90AA1|LCK|FGFR1	PDGFA|PDGFRA|F3|MTDH|PDGFRB|ENG|THBS1|LEP|CCL21|BTC|NRG1|FGF4|FGFR2|AXL	3.89680152994152e-23	8.18172449226522e-19	turquoise
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	Gene Ontology	ERBB3|PRR5L|FLG	IRS2|PIK3R1	SRC|PTK2|KIT|PPARD|TNF|KDR|FGFR1	PDGFA|PDGFRA|PDGFC|GH1|PDGFRB|CCL5|NTRK2|LEP|LYN|SELP	1.11937429411322e-19	2.35023826792011e-15	turquoise
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	Gene Ontology	NDFIP1|HLA-DRB1|CARD11|CCR7	RELA|REL|CASP1	IKBKB|TNF|CHUK|CASP8|FKBP1A	TNFRSF25|TNFRSF1A|CCK|CD40|CD36|LTF|EDAR|FADD|CCL21|IL1B|MTDH|LGALS1|S100B	3.19238203952525e-16	6.70272533018721e-12	turquoise
GO:0048008	platelet-derived growth factor receptor signaling pathway	Gene Ontology	RGS14|IQGAP1	NR4A3|TIPARP|CSRNP1	PTPN11|PLAT	PDGFA|PDGFRA|PDGFC|PDGFRB|TEC|PLAT	1.90833564177086e-13	4.00674151346209e-09	turquoise
GO:0031295	T cell costimulation	Gene Ontology	TNFRSF14|CARD11|CD86	MAP3K8|PIK3R1	SRC|PTPN11|DPP4|LCK	CTLA4|TNFSF14|CD24|CCL21|LGALS1|LYN	3.28292996293666e-13	6.89283975018181e-09	turquoise
GO:0048661	positive regulation of smooth muscle cell proliferation	Gene Ontology	IL13|IL6R	NR4A3|NAMPT	TGFBR2|TNF|HMGCR|CALCRL	PDGFRB|CCL5|TEC|THBS1|AR|IL6R|FGFR2	4.79364172847741e-13	1.00647301731112e-08	turquoise
GO:0071260	cellular response to mechanical stimulus	Gene Ontology	PTGER4|IL13|F11R	PTGER4|GADD45A|CASP2|CASP1	MMP7|PTPN11|CASP8	ENG|TNFRSF1A|CD40|FADD|IL1B|TNFSF14	6.58000795111808e-12	1.38153846941675e-07	turquoise
GO:0050852	T cell receptor signaling pathway	Gene Ontology	INPP5D|CARD11|HLA-DRB1|SPPL3|CD247|HLA-DQA1	RELA|CD3D|PIK3R1	ITK|CHUK|IKBKB|ZAP70|PRKCQ|PDE4D|LCK	CTLA4|ITK|CCK	1.75747764587013e-10	3.69000006526893e-06	turquoise
GO:0042981	regulation of apoptotic process	Gene Ontology	TRAF3|CARD11|DYNAP|IKZF3|BCL6	CASP6|CASP2|CASP1|USP42|USP36|TRAF4|BCL6|BCL3	ATM|TP53|JAK3	CXCL10|LGALS1|TNFRSF25	1.62619420961216e-09	3.41435736250168e-05	turquoise
GO:0070301	cellular response to hydrogen peroxide	Gene Ontology	STAT6|IL18RAP|TNFAIP3	NFE2L2|RELA|TNFAIP3	SRC|MDM2|SLC6A2	PDGFRB|FABP1|AXL|LCN2	2.46945255236136e-09	5.18486257893792e-05	turquoise
GO:0019903	protein phosphatase binding	Gene Ontology	STAT6|TRAF3|IQGAP1	IRS2|PIK3R1|RPA2	PPARG|PTK2|TP53|LCK|JAK3	CEACAM1|CSF1R	1.27414404540228e-08	0.000267519283772662	turquoise
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	Gene Ontology	ALOX15|IQGAP1	CDK16|RGS1	SRC|PTK2|LCK|ZAP70|RGS1	FRK|LYN	6.07476898137575e-08	0.00127545849532965	turquoise
GO:0007249	I-kappaB kinase/NF-kappaB signaling	Gene Ontology	CARD11|NFKBIA	SNIP1|RELA|REL|BCL3	IKBKB|TNF|CHUK	CCK|TNFRSF1A	1.34064443929937e-07	0.00281481706475296	turquoise
