##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
MAPK signaling pathway	KEGG PATHWAY	hsa04010	11	295	8.39455975517e-10	7.90405440381e-08	TGFBR2|TGFBR1|TP53|GCK|CHUK|KIT|IKBKB|TNF|EPHA2|KDR|FGFR1	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:3551%09red/hsa:7124%09red/hsa:3815%09red/hsa:7157%09red/hsa:1147%09red/hsa:7046%09red/hsa:3791%09red/hsa:2260%09red/hsa:1969%09red/hsa:5871%09red/hsa:7048%09red
C-type lectin receptor signaling pathway	KEGG PATHWAY	hsa04625	8	104	8.61720216957e-10	7.90405440381e-08	SRC|CLEC4M|PTPN11|CHUK|CASP8|IKBKB|TNF|MDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa04625/hsa:3551%09red/hsa:5781%09red/hsa:7124%09red/hsa:1147%09red/hsa:841%09red/hsa:10332%09red/hsa:4193%09red/hsa:6714%09red
Hepatitis B	KEGG PATHWAY	hsa05161	9	163	1.17160447732e-09	1.03882263656e-07	TGFBR2|TGFBR1|TP53|SRC|CHUK|CASP8|IKBKB|TNF|JAK3	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:3551%09red/hsa:3718%09red/hsa:7124%09red/hsa:7157%09red/hsa:1147%09red/hsa:7046%09red/hsa:841%09red/hsa:6714%09red/hsa:7048%09red
Chronic myeloid leukemia	KEGG PATHWAY	hsa05220	7	76	3.15508198278e-09	2.46838766888e-07	TGFBR2|TGFBR1|TP53|PTPN11|CHUK|IKBKB|MDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa05220/hsa:3551%09red/hsa:5781%09red/hsa:7157%09red/hsa:1147%09red/hsa:7046%09red/hsa:4193%09red/hsa:7048%09red
Neuroactive ligand-receptor interaction	KEGG PATHWAY	hsa04080	11	338	3.31176902294e-09	2.51694445743e-07	ADORA2A|ADORA2B|CALCRL|OXT|CHRM3|CHRM2|CHRM1|PTGER3|ADRB2|CTSG|GLP2R	http://www.genome.jp/kegg-bin/show_pathway?hsa04080/hsa:1511%09red/hsa:154%09red/hsa:5020%09red/hsa:135%09red/hsa:1128%09red/hsa:1129%09red/hsa:10203%09red/hsa:5733%09red/hsa:9340%09red/hsa:136%09red/hsa:1131%09red
GPCR ligand binding	Reactome	R-HSA-500792	12	454	5.93112091958e-09	4.0453286272e-07	WNT3A|ADORA2A|ADORA2B|CALCRL|OXT|CHRM3|CHRM2|CHRM1|PTGER3|ADRB2|CCRL2|GLP2R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-500792
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	9	203	7.32389775984e-09	4.53059721888e-07	WNT3A|SRC|PTK2|TP53|PTPN11|TNF|MDM2|KDR|FGFR1	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:89780%09red/hsa:7124%09red/hsa:5781%09red/hsa:5747%09red/hsa:7157%09red/hsa:3791%09red/hsa:2260%09red/hsa:4193%09red/hsa:6714%09red
GPCR downstream signalling	Reactome	R-HSA-388396	17	1108	1.04480871774e-08	6.3163436118e-07	SRC|ADORA2B|CALCRL|OXT|CHRM3|CHRM2|CHRM1|PTGER3|ADRB2|RBP4|RGS1|HSD17B1|PRKCQ|ADORA2A|PDE3B|PDE4D|GLP2R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388396
Prostate cancer	KEGG PATHWAY	hsa05215	7	97	1.54064530935e-08	8.71939685718e-07	TP53|CHUK|PLAT|IKBKB|HSP90AA1|MDM2|FGFR1	http://www.genome.jp/kegg-bin/show_pathway?hsa05215/hsa:3551%09red/hsa:3320%09red/hsa:5327%09red/hsa:7157%09red/hsa:1147%09red/hsa:2260%09red/hsa:4193%09red
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	9	225	1.72320323403e-08	9.35453184185e-07	SRC|PTK2|TP53|CHUK|CASP8|PTGER3|IKBKB|TNF|MDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:3551%09red/hsa:7124%09red/hsa:5747%09red/hsa:7157%09red/hsa:1147%09red/hsa:6714%09red/hsa:841%09red/hsa:4193%09red/hsa:5733%09red
NF-kappa B signaling pathway	KEGG PATHWAY	hsa04064	7	100	1.87855281673e-08	9.99390098498e-07	ATM|CHUK|IKBKB|TNF|ZAP70|PRKCQ|LCK	http://www.genome.jp/kegg-bin/show_pathway?hsa04064/hsa:3551%09red/hsa:7535%09red/hsa:7124%09red/hsa:5588%09red/hsa:1147%09red/hsa:3932%09red/hsa:472%09red
T cell receptor signaling pathway	KEGG PATHWAY	hsa04660	7	103	2.27725034739e-08	1.18774233805e-06	ITK|CHUK|IKBKB|TNF|ZAP70|PRKCQ|LCK	http://www.genome.jp/kegg-bin/show_pathway?hsa04660/hsa:3551%09red/hsa:7535%09red/hsa:7124%09red/hsa:3702%09red/hsa:5588%09red/hsa:1147%09red/hsa:3932%09red
Signaling by Nuclear Receptors	Reactome	R-HSA-9006931	9	264	6.46570103401e-08	3.03294884085e-06	SRC|PTK2|RARG|PPARD|ADH1A|HSP90AA1|MMP7|ALDH1A1|ALDH1A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006931
Yersinia infection	KEGG PATHWAY	hsa05135	7	121	6.49917608754e-08	3.03294884085e-06	SRC|PTK2|CHUK|IKBKB|TNF|ZAP70|LCK	http://www.genome.jp/kegg-bin/show_pathway?hsa05135/hsa:3551%09red/hsa:7535%09red/hsa:7124%09red/hsa:5747%09red/hsa:1147%09red/hsa:3932%09red/hsa:6714%09red
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	11	458	6.80286013251e-08	3.1199324056e-06	SRC|PTK2|PLAT|ADORA2A|PTPN11|KIT|HSP90AA1|PDE3B|LCK|KDR|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
Osteoclast differentiation	KEGG PATHWAY	hsa04380	7	128	9.37106646365e-08	4.15450613222e-06	TGFBR2|TGFBR1|CHUK|IKBKB|PPARG|TNF|LCK	http://www.genome.jp/kegg-bin/show_pathway?hsa04380/hsa:3551%09red/hsa:3932%09red/hsa:7124%09red/hsa:1147%09red/hsa:7046%09red/hsa:5468%09red/hsa:7048%09red
cAMP signaling pathway	KEGG PATHWAY	hsa04024	8	214	1.82496747976e-07	7.58502108773e-06	ADORA2A|OXT|CHRM2|CHRM1|PDE3B|ADRB2|PTGER3|PDE4D	http://www.genome.jp/kegg-bin/show_pathway?hsa04024/hsa:5144%09red/hsa:154%09red/hsa:5140%09red/hsa:5020%09red/hsa:135%09red/hsa:1128%09red/hsa:1129%09red/hsa:5733%09red
Signaling by Retinoic Acid	Reactome	R-HSA-5362517	5	43	2.11013082919e-07	8.50446667524e-06	PPARD|RARG|ADH1A|ALDH1A2|ALDH1A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5362517
PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	6	88	2.35193808691e-07	9.20022839879e-06	SRC|PTPN11|CHUK|KIT|MDM2|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219528
PD-L1 expression and PD-1 checkpoint pathway in cancer	KEGG PATHWAY	hsa05235	6	89	2.50498385034e-07	9.65689426364e-06	PTPN11|CHUK|IKBKB|ZAP70|PRKCQ|LCK	http://www.genome.jp/kegg-bin/show_pathway?hsa05235/hsa:3551%09red/hsa:7535%09red/hsa:5781%09red/hsa:5588%09red/hsa:1147%09red/hsa:3932%09red
Th1 and Th2 cell differentiation	KEGG PATHWAY	hsa04658	6	92	3.01396866174e-07	1.14530809146e-05	CHUK|IKBKB|JAK3|PRKCQ|LCK|ZAP70	http://www.genome.jp/kegg-bin/show_pathway?hsa04658/hsa:3551%09red/hsa:3718%09red/hsa:7535%09red/hsa:5588%09red/hsa:1147%09red/hsa:3932%09red
Class A/1 (Rhodopsin-like receptors)	Reactome	R-HSA-373076	9	322	3.29090993198e-07	1.22008675967e-05	ADORA2A|ADORA2B|OXT|CHRM3|CHRM2|CHRM1|CCRL2|ADRB2|PTGER3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373076
Ras signaling pathway	KEGG PATHWAY	hsa04014	8	232	3.3024904773e-07	1.22008675967e-05	EPHA2|PTPN11|CHUK|KIT|IKBKB|ZAP70|KDR|FGFR1	http://www.genome.jp/kegg-bin/show_pathway?hsa04014/hsa:3551%09red/hsa:7535%09red/hsa:5781%09red/hsa:3815%09red/hsa:1147%09red/hsa:3791%09red/hsa:2260%09red/hsa:1969%09red
Human papillomavirus infection	KEGG PATHWAY	hsa05165	9	330	4.01791243345e-07	1.44427663148e-05	WNT3A|PTK2|TP53|ATM|CHUK|CASP8|IKBKB|TNF|MDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:3551%09red/hsa:89780%09red/hsa:7124%09red/hsa:5747%09red/hsa:7157%09red/hsa:1147%09red/hsa:841%09red/hsa:4193%09red/hsa:472%09red
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	8	247	5.22337500836e-07	1.78130481054e-05	SRC|TP53|PTPN11|CHUK|KIT|PPARG|MDM2|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	6	103	5.65978828294e-07	1.89003579978e-05	TGFBR2|TGFBR1|CHUK|CASP8|IKBKB|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:3551%09red/hsa:7124%09red/hsa:1147%09red/hsa:7046%09red/hsa:841%09red/hsa:7048%09red
Regulation of lipolysis in adipocytes	KEGG PATHWAY	hsa04923	5	55	6.55832604988e-07	2.10182497502e-05	FABP4|PTGS1|PDE3B|ADRB2|PTGER3	http://www.genome.jp/kegg-bin/show_pathway?hsa04923/hsa:5733%09red/hsa:5742%09red/hsa:154%09red/hsa:5140%09red/hsa:2167%09red
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	6	108	7.37242697322e-07	2.25409836193e-05	TP53|PIM1|TNF|JAK3|HSP90AA1|F13A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Metabolism of lipids	Reactome	R-HSA-556833	12	728	8.69805947537e-07	2.6291861596e-05	HSD17B1|PTGS1|SCD|GGT5|CYP1A2|PPARG|PPARD|BCHE|GLTP|ME1|EPHX2|FABP4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-556833
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	7	186	1.05504119658e-06	3.09661018791e-05	TGFBR2|PTK2|TP53|ATM|PLAT|PPARG|MDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:5327%09red/hsa:5747%09red/hsa:7157%09red/hsa:4193%09red/hsa:5468%09red/hsa:472%09red/hsa:7048%09red
Muscarinic acetylcholine receptors	Reactome	R-HSA-390648	3	5	1.08373954195e-06	3.13342084956e-05	CHRM3|CHRM2|CHRM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390648
TCR signaling	Reactome	R-HSA-202403	6	117	1.15170682869e-06	3.29412920894e-05	ITK|CHUK|IKBKB|ZAP70|PRKCQ|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202403
Calcium signaling pathway	KEGG PATHWAY	hsa04020	7	193	1.33819525288e-06	3.78680784325e-05	ADORA2A|ADORA2B|CHRM3|CHRM2|CHRM1|PTGER3|ADRB2	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:154%09red/hsa:135%09red/hsa:1128%09red/hsa:1129%09red/hsa:5733%09red/hsa:136%09red/hsa:1131%09red
Acute myeloid leukemia	KEGG PATHWAY	hsa05221	5	66	1.52679949456e-06	4.23050693284e-05	IKBKB|PPARD|KIT|CHUK|PIM1	http://www.genome.jp/kegg-bin/show_pathway?hsa05221/hsa:3551%09red/hsa:3815%09red/hsa:5292%09red/hsa:5467%09red/hsa:1147%09red
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	8	288	1.59548653499e-06	4.37525173514e-05	SRC|TP53|PTPN11|CHUK|KIT|PPARG|MDM2|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Loss of Function of TGFBR1 in Cancer	Reactome	R-HSA-3656534	3	6	1.62238865705e-06	4.39895447106e-05	TGFBR2|TGFBR1|FKBP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656534
Developmental Biology	Reactome	R-HSA-1266738	14	1082	1.70813254238e-06	4.54363256272e-05	SRC|PTK2|RARG|PTPN11|EPHA2|PPARG|KRT1|TNF|PRKCQ|HSP90AA1|FABP4|SCN5A|TFDP2|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	7	201	1.73712670636e-06	4.57500696923e-05	TP53|CHUK|CASP8|IKBKB|TNF|JAK3|MDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:3551%09red/hsa:3718%09red/hsa:7124%09red/hsa:7157%09red/hsa:1147%09red/hsa:841%09red/hsa:4193%09red
Adipocytokine signaling pathway	KEGG PATHWAY	hsa04920	5	69	1.87683618679e-06	4.84697500666e-05	IKBKB|PRKCQ|PTPN11|TNF|CHUK	http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:3551%09red/hsa:7124%09red/hsa:5781%09red/hsa:5588%09red/hsa:1147%09red
FoxO signaling pathway	KEGG PATHWAY	hsa04068	6	132	2.25322960715e-06	5.44501241207e-05	TGFBR2|TGFBR1|ATM|CHUK|IKBKB|MDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:3551%09red/hsa:1147%09red/hsa:7046%09red/hsa:4193%09red/hsa:472%09red/hsa:7048%09red
p53 signaling pathway	KEGG PATHWAY	hsa04115	5	72	2.28714402246e-06	5.44501241207e-05	RRM2B|MDM2|ATM|TP53|CASP8	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:50484%09red/hsa:841%09red/hsa:7157%09red/hsa:472%09red/hsa:4193%09red
Signaling by TGF-beta Receptor Complex	Reactome	R-HSA-170834	5	72	2.28714402246e-06	5.44501241207e-05	TGFBR2|TGFBR1|FURIN|TFDP2|FKBP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170834
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	7	210	2.3003102121e-06	5.44501241207e-05	SRC|ADORA2B|ADORA2A|EPHA2|KIT|KDR|FGFR1	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:3815%09red/hsa:135%09red/hsa:3791%09red/hsa:2260%09red/hsa:6714%09red/hsa:136%09red/hsa:1969%09red
Signaling by TGF-beta Receptor Complex in Cancer	Reactome	R-HSA-3304351	3	7	2.31310677656e-06	5.44501241207e-05	TGFBR2|TGFBR1|FKBP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3304351
Antifolate resistance	KEGG PATHWAY	hsa01523	4	31	2.53489192891e-06	5.81276942319e-05	IKBKB|GART|TNF|CHUK	http://www.genome.jp/kegg-bin/show_pathway?hsa01523/hsa:3551%09red/hsa:7124%09red/hsa:2618%09red/hsa:1147%09red
TGF-beta receptor signaling activates SMADs	Reactome	R-HSA-2173789	4	31	2.53489192891e-06	5.81276942319e-05	TGFBR2|TGFBR1|FURIN|FKBP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173789
Apoptosis	KEGG PATHWAY	hsa04210	6	136	2.65957966566e-06	6.04656573561e-05	TP53|ATM|CHUK|CASP8|IKBKB|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04210/hsa:3551%09red/hsa:7124%09red/hsa:7157%09red/hsa:1147%09red/hsa:841%09red/hsa:472%09red
@@Apoptosis	Reactome	R-HSA-109581	5	172	0.000127659152822	0.00135829338602	PRKCQ|PTK2|TP53|TFDP2|CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109581
Pancreatic cancer	KEGG PATHWAY	hsa05212	5	75	2.76490465261e-06	6.23275116605e-05	IKBKB|TGFBR2|TGFBR1|TP53|CHUK	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:3551%09red/hsa:7046%09red/hsa:1147%09red/hsa:7157%09red/hsa:7048%09red
Regulation of TNFR1 signaling	Reactome	R-HSA-5357905	4	32	2.84579371625e-06	6.34017856927e-05	IKBKB|TNF|CHUK|CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357905
Measles	KEGG PATHWAY	hsa05162	6	138	2.88406619128e-06	6.34017856927e-05	CLEC4M|TP53|CHUK|CASP8|IKBKB|JAK3	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:3551%09red/hsa:3718%09red/hsa:7157%09red/hsa:1147%09red/hsa:841%09red/hsa:10332%09red
Interleukin-1 family signaling	Reactome	R-HSA-446652	6	138	2.88406619128e-06	6.34017856927e-05	IL1RN|PTPN11|CHUK|CTSG|IKBKB|IL18R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446652
PPAR signaling pathway	KEGG PATHWAY	hsa03320	5	76	2.94045995096e-06	6.41116677832e-05	PPARG|PPARD|ME1|FABP4|SCD	http://www.genome.jp/kegg-bin/show_pathway?hsa03320/hsa:6319%09red/hsa:5468%09red/hsa:5467%09red/hsa:4199%09red/hsa:2167%09red
Activation of Matrix Metalloproteinases	Reactome	R-HSA-1592389	4	33	3.18407073432e-06	6.83034528491e-05	MMP7|CTRB1|CTSG|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1592389
Generic Transcription Pathway	Reactome	R-HSA-212436	14	1193	5.1815298045e-06	0.000106843947907	SRC|TP53|RARG|PTPN11|ATM|GP1BA|KIT|PPARG|PPARD|RRM2B|PRKCQ|MDM2|F11|TFDP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
Innate Immune System	Reactome	R-HSA-168249	13	1043	6.13649341372e-06	0.000123659640004	CRP|PTK2|ITK|PTPN11|IMPDH1|CASP8|CHUK|IKBKB|KRT1|PRKCQ|HSP90AA1|CTSG|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	5	93	7.51341030556e-06	0.00014482370589	IKBKB|HSP90AA1|TNF|CHUK|CASP8	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:3551%09red/hsa:7124%09red/hsa:3320%09red/hsa:841%09red/hsa:1147%09red
Amine ligand-binding receptors	Reactome	R-HSA-375280	4	42	7.72056966319e-06	0.00014565046315	ADRB2|CHRM3|CHRM2|CHRM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-375280
TNF signaling	Reactome	R-HSA-75893	4	42	7.72056966319e-06	0.00014565046315	IKBKB|TNF|CHUK|CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75893
Hemostasis	Reactome	R-HSA-109582	10	617	8.63383711884e-06	0.000160413358514	SRC|PTK2|TP53|PTPN11|GP1BA|PLAT|KIF11|PRKCQ|F13A1|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	Reactome	R-HSA-933543	3	12	8.68403143835e-06	0.000160413358514	IKBKB|CHUK|CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933543
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	7	260	8.95333382432e-06	0.000164247365329	SRC|PTK2|PTPN11|GP1BA|PRKCQ|F13A1|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
