ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	class	class2
hsa01100	Metabolic pathways	147	0.265353753566113	1.77823302753025	0.000415069387010034	0.00460349683774765	0.0034953211537687	306	tags=31%, list=19%, signal=28%	ALDH1A2/ST3GAL6/FBP1/HK3/ENTPD1/DHRS9/PDE1C/PLA2G4A/AK4/UROS/GCLC/ACSBG1/RRM2B/PIGA/SCD/ATP6V1H/SRD5A3/GALNT7/RDH12/CYP27B1/HSD17B12/CDS1/HSD3B7/KMO/GYG2/PFKFB2/GALM/MBOAT1/ATP6V1D/DPYD/HAAO/ADH4/NOS1/PI4KA/NAT8L/TPK1/CERS3/GPAT2/NPL/CBS/HSD3B1/GALNTL6/SPHK2/ALDH3A2/GALNT6/SMS	KEGG	imDC
hsa05200	Pathways in cancer	57	-0.390830699937739	-1.96455276144385	0.000775871414189406	0.00788802604425896	0.00598918284637436	188	tags=35%, list=12%, signal=32%	FRAT1/CAMK2G/PIM1/GADD45B/IL12RB1/RASGRP2/IL4R/IL15RA/RASGRP1/JAK3/ETS1/IL2RA/STAT4/KIT/AXIN2/FLT4/IL2RB/LEF1/TCF7/FLT3LG	KEGG	imDC
hsa04062	Chemokine signaling pathway	18	-0.573533793658583	-2.1215217466701	0.00194557530917584	0.0176240928974688	0.0133815373164561	184	tags=44%, list=11%, signal=40%	CXCR6/RASGRP2/CCL28/CXCR3/JAK3/ITK/CCL5/CCR7	KEGG	imDC
hsa05162	Measles	18	-0.571780059751185	-2.11503462304538	0.00213852073225541	0.0176240928974688	0.0133815373164561	152	tags=39%, list=9%, signal=36%	HSPA1L/JAK3/CD28/IL2RA/IL2RB/CD3E/CD3G	KEGG	imDC
hsa05166	Human T-cell leukemia virus 1 infection	20	-0.540989454342806	-2.0463493780034	0.00216689666772158	0.0176240928974688	0.0133815373164561	168	tags=40%, list=10%, signal=36%	LTA/IL15RA/JAK3/ETS1/IL2RA/IL2RB/CD3E/CD3G	KEGG	imDC
hsa05170	Human immunodeficiency virus 1 infection	16	-0.556185452698434	-1.96165799839271	0.0040065545733395	0.0289397877626893	0.021973264220161	126	tags=31%, list=8%, signal=29%	APOBEC3G/ITPR3/CD3E/CD3G/CD247	KEGG	imDC
hsa04514	Cell adhesion molecules	20	-0.519053775909414	-1.96337537258071	0.00403259337676818	0.0289397877626893	0.021973264220161	245	tags=50%, list=15%, signal=43%	CTLA4/CD2/TIGIT/SELPLG/CD8A/CD28/IGSF11/CD6/SELL/CD8B	KEGG	imDC
hsa01240	Biosynthesis of cofactors	11	0.604464117915185	1.93673561803393	0.00521330765374986	0.0339412481296828	0.025770749227024	288	tags=73%, list=18%, signal=60%	AK4/UROS/GCLC/RDH12/KMO/HAAO/TPK1/ALDH3A2	KEGG	imDC
hsa04630	JAK-STAT signaling pathway	16	-0.544013894632123	-1.91872909020599	0.00528593208577027	0.0339412481296828	0.025770749227024	308	tags=56%, list=19%, signal=46%	CRLF2/PIM1/IL12RB1/IL4R/IL15RA/JAK3/IL2RA/STAT4/IL2RB	KEGG	imDC
hsa04066	HIF-1 signaling pathway	10	0.610626991542734	1.88884337935498	0.00634281363756012	0.0386911631891167	0.0293772421108048	30	tags=40%, list=2%, signal=40%	FLT1/TFRC/CYBB/HK3	KEGG	imDC
hsa05224	Breast cancer	16	-0.533818057834453	-1.88276852218427	0.00669998598563318	0.0389237281070118	0.029553822894021	71	tags=44%, list=4%, signal=42%	FRAT1/GADD45B/KIT/AXIN2/FLT4/LEF1/TCF7	KEGG	imDC
hsa04721	Synaptic vesicle cycle	13	0.541762085359921	1.86036841620804	0.00766677399909438	0.0425157467222506	0.0322811536803974	681	tags=92%, list=42%, signal=54%	SLC1A3/ATP6V1H/ATP6V1D/CLTC/SLC6A2/SLC6A3/ATP6V0B/TCIRG1/ATP6V1E1/ATP6V0D1/UNC13C/ATP6V1F	KEGG	imDC
hsa05152	Tuberculosis	21	0.453075705131783	1.84714051137936	0.0105962547024169	0.0546856107971639	0.0415214301134635	350	tags=52%, list=22%, signal=42%	ITGB2/ATP6V1H/CYP27B1/IL18/CEBPB/IFNGR2/TLR2/CLEC7A/SRC/SPHK2/HSPA9	KEGG	imDC
hsa04934	Cushing syndrome	15	-0.530205606167257	-1.83047456414824	0.0107578250748519	0.0546856107971639	0.0415214301134635	100	tags=67%, list=6%, signal=63%	CYP11B1/CACNA1H/WDR5/CACNA1C/CAMK2G/ITPR3/AXIN2/CRH/LEF1/TCF7	KEGG	imDC
hsa04064	NF-kappa B signaling pathway	13	-0.56669671290316	-1.86883460710043	0.0121623144903355	0.0593520947128372	0.0450645757957694	263	tags=46%, list=16%, signal=39%	LCK/GADD45B/LTA/ZAP70/CARD11/PRKCQ	KEGG	imDC
hsa04390	Hippo signaling pathway	19	-0.460682374783025	-1.70931260934466	0.0177790984465806	0.0834250004031857	0.0633425369756716	171	tags=32%, list=11%, signal=29%	DLG3/AMH/AXIN2/NKD2/LEF1/TCF7	KEGG	imDC
hsa04310	Wnt signaling pathway	19	-0.458905707736359	-1.70272047656142	0.0185692664559567	0.0839055743565453	0.0637074248781362	68	tags=32%, list=4%, signal=31%	FRAT1/CAMK2G/AXIN2/NKD2/LEF1/TCF7	KEGG	imDC
hsa03320	PPAR signaling pathway	12	0.495095420092538	1.65785197853645	0.029753351723442	0.125735941834373	0.095468187070102	123	tags=42%, list=8%, signal=39%	FABP4/PPARG/CD36/ACSBG1/SCD	KEGG	imDC
hsa04152	AMPK signaling pathway	17	0.429967245360116	1.63230032616334	0.0298880517475149	0.125735941834373	0.095468187070102	171	tags=35%, list=11%, signal=32%	FBP1/CAB39L/PPARG/CD36/SCD/PFKFB2	KEGG	imDC
hsa04014	Ras signaling pathway	26	-0.411801707181728	-1.6822293015295	0.0354206226044397	0.144043865258055	0.109368939971603	183	tags=35%, list=11%, signal=31%	RASGRP2/RASGRP1/ETS1/EFNA5/RASAL3/ZAP70/KIT/FLT4/FLT3LG	KEGG	imDC
hsa05226	Gastric cancer	14	-0.496744095810599	-1.66811036801249	0.0369793168879199	0.145531505171814	0.1104984681201	292	tags=50%, list=18%, signal=41%	TP53/SHH/FRAT1/GADD45B/AXIN2/LEF1/TCF7	KEGG	imDC
hsa03010	Ribosome	12	-0.524783147459727	-1.67676657913115	0.0423776675470804	0.160660465119735	0.12198551277426	780	tags=100%, list=48%, signal=52%	RPL17/RPS8/RPS23/RPS28/RPL13A/RPLP2/RPS16/RPL3/RPS26/RPL28/RPL13	KEGG	imDC
hsa04270	Vascular smooth muscle contraction	14	-0.487338742422543	-1.63652636402783	0.04345733892583	0.160660465119735	0.12198551277426	209	tags=43%, list=13%, signal=38%	AVP/PRKCH/PTGIR/ITPR3/ADORA2A/PRKCQ	KEGG	imDC
hsa04142	Lysosome	18	0.41032864171667	1.5641508495189	0.0459100617679956	0.164736103991043	0.125080044445313	645	tags=83%, list=40%, signal=51%	LIPA/PLA2G15/ATP6V1H/ABCB9/SUMF1/LAPTM5/IDUA/CLTC/ATP6V0B/AP3B1/TCIRG1/GLA/ACP2/AP1S2/ATP6V0D1	KEGG	imDC
R-HSA-109582	Hemostasis	72	0.330980887017297	1.92031455575371	0.00044956732345867	0.0204553132173695	0.0175094641768113	426	tags=52%, list=26%, signal=40%	SELL/PRKCQ/CTSW/CD109/HBD/HBD/RAB27B/CD9/PLAUR/ITPR3/PTGIR/DOCK3/F3/KIF1B/RASGRP1/LHFPL2/PLA2G4A/DOCK9/DGKD/ITGB2/ATP1B1/RAPGEF3/CEACAM3/CD36/PRKCH/RASGRP2/ANXA2/TBXA2R/EHD2/KIF21B/TRPC6/CAPZA2/SELPLG/DOCK4/P2RX5/KIF3B/CD2/SDC1	Reactome	imDC
R-HSA-1280215	Cytokine Signaling in Immune system	68	0.252967330709364	1.44513339980402	0.0419478353143293	0.244728915662651	0.209484554760395	130	tags=19%, list=8%, signal=18%	IFITM1/IL32/ISG20/FLT3LG/SLA2/CCL5/IL1RN/GRAP2/IL2RB/IL18R1/STAT4/IL2RA/TNFRSF25	Reactome	imDC
R-HSA-1280218	Adaptive Immune System	91	0.341863999853482	2.08119267068073	2.62526479474071e-05	0.00238899096321405	0.00204494310327171	145	tags=25%, list=9%, signal=24%	CD8B/IFITM1/CD247/SELL/CD96/CD3G/CD3E/PRKCQ/CYBB/GRAP2/NCR3/SH2D1A/KIR3DL2/FBXO2/CARD11/ITK/ZAP70/KIR2DL2/CD28/CD8A/TREML1/KIR2DS2/ITPR3	Reactome	imDC
R-HSA-15869	Metabolism of nucleotides	10	0.544882596504234	1.74886420967047	0.0228752969252853	0.187009548514582	0.160077577675871	457	tags=70%, list=28%, signal=51%	ENTPD1/NT5E/TXNRD1/AK4/RRM2B/NT5C/DPYD	Reactome	imDC
R-HSA-1640170	Cell Cycle	45	-0.330201670009011	-1.56844580218182	0.0239135691083263	0.187009548514582	0.160077577675871	427	tags=40%, list=26%, signal=30%	ACD/LMNA/PPP1R12B/UBC/SDCCAG8/CHMP4A/YWHAZ/PSMD5/STAG3/FKBPL/TERF2IP/PSMD12/ANAPC16/FBXL18/KPNB1/NUP50/E2F4/RCC2	Reactome	imDC
R-HSA-166166	MyD88-independent TLR4 cascade 	12	-0.606350786622995	-1.91168592003118	0.00436674979346393	0.0689721774365728	0.0590392264928443	425	tags=75%, list=26%, signal=56%	NFKB2/PTPN11/UBC/NKIRAS2/CASP8/RIPK1/TAB1/CHUK/RIPK3	Reactome	imDC
R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	11	-0.576106274395085	-1.76354073848751	0.0170865250408436	0.18360463470338	0.1571630187166	425	tags=73%, list=26%, signal=54%	NFKB2/UBC/UBE2K/NKIRAS2/CASP8/RIPK1/CHUK/IFNA7	Reactome	imDC
R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	10	-0.54179665684711	-1.5957902739022	0.0360940506929113	0.218970574203662	0.187435772019329	425	tags=70%, list=26%, signal=52%	NFKB2/UBC/NKIRAS2/RIPK1/CHUK/RIPK3/POLR3E	Reactome	imDC
R-HSA-195258	RHO GTPase Effectors	25	-0.41228443352931	-1.62615218550362	0.0255641689962748	0.187009548514582	0.160077577675871	562	tags=68%, list=35%, signal=45%	WAS/TAX1BP3/ARPC5/SRF/TUBA1A/NCKAP1L/PPP1R12B/WASF1/FMNL1/DVL2/YWHAZ/DLG4/ARPC1B/SCAI/KLK2/RCC2/RHOA	Reactome	imDC
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	20	0.802577309602851	3.20479603480325	1e-10	1.82e-08	1.55789473684211e-08	167	tags=75%, list=10%, signal=68%	CD8B/IFITM1/CD247/SELL/CD96/CD3G/CD3E/NCR3/SH2D1A/KIR3DL2/KIR2DL2/CD8A/TREML1/KIR2DS2/TREM2	Reactome	imDC
R-HSA-202403	TCR signaling	16	0.576385335351515	2.10917690496864	0.00116665963051005	0.0403516817546604	0.0345404794661061	104	tags=50%, list=6%, signal=47%	CD247/CD3G/CD3E/PRKCQ/GRAP2/CARD11/ITK/ZAP70	Reactome	imDC
R-HSA-2555396	Mitotic Metaphase and Anaphase	13	-0.538601045794198	-1.73822629891256	0.0174055378887901	0.18360463470338	0.1571630187166	420	tags=77%, list=26%, signal=58%	NUP62/TUBA1A/LMNA/UBC/CHMP4A/PSMD5/PSMD12/ANAPC16/KPNB1/RCC2	Reactome	imDC
R-HSA-372790	Signaling by GPCR	67	0.314251760529747	1.79609064386105	0.00519526431592423	0.0727337004229392	0.0622590379560151	380	tags=45%, list=23%, signal=36%	CCR7/PRKCQ/CCL5/RGS9/CRH/ADORA2A/ITPR3/ADORA2B/RGS1/RGS3/PTGIR/CCRL2/RASGRP1/PDE1C/PLA2G4A/CXCR3/S1PR4/CCL28/DGKD/FFAR3/FGD3/GPR132/PRKCH/RASGRP2/TBXA2R/CXCR6/TRPC6/RGS6/AVP/PDE4D	Reactome	imDC
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	28	0.383062654343206	1.66556975735299	0.0211851501580823	0.18360463470338	0.1571630187166	312	tags=46%, list=19%, signal=38%	CCR7/CCL5/ADORA2A/ADORA2B/PTGIR/CCRL2/CXCR3/S1PR4/CCL28/FFAR3/GPR132/TBXA2R/CXCR6	Reactome	imDC
R-HSA-376176	Signaling by ROBO receptors	23	-0.42675262214035	-1.63406621169674	0.0209142408163604	0.18360463470338	0.1571630187166	245	tags=35%, list=15%, signal=30%	PSMD5/ETF1/RPS8/PSMD12/RPL17/RPL6/ABL2/RHOA	Reactome	imDC
R-HSA-388841	Costimulation by the CD28 family	11	0.615205817480427	2.01791635806199	0.00155198775979463	0.0403516817546604	0.0345404794661061	109	tags=45%, list=7%, signal=43%	CD247/CD3G/CD3E/GRAP2/CD28	Reactome	imDC
R-HSA-416476	G alpha (q) signalling events	21	0.524077153069262	2.12536594731105	0.00140460753113043	0.0403516817546604	0.0345404794661061	368	tags=62%, list=23%, signal=49%	PRKCQ/ITPR3/RGS1/RGS3/RASGRP1/DGKD/FFAR3/GPR132/PRKCH/RASGRP2/TBXA2R/TRPC6/AVP	Reactome	imDC
R-HSA-418594	G alpha (i) signalling events	31	0.356055762717093	1.60289371773139	0.0267156497877974	0.187009548514582	0.160077577675871	224	tags=35%, list=14%, signal=31%	CCR7/CCL5/RGS9/ITPR3/RGS1/RGS3/PDE1C/PLA2G4A/CXCR3/S1PR4/CCL28	Reactome	imDC
R-HSA-500792	GPCR ligand binding	38	0.314433021757673	1.51420169437559	0.0490349865160007	0.26248139840918	0.224680433571768	312	tags=37%, list=19%, signal=30%	CCR7/CCL5/CRH/ADORA2A/ADORA2B/PTGIR/CCRL2/CXCR3/S1PR4/CCL28/FFAR3/GPR132/TBXA2R/CXCR6	Reactome	imDC
R-HSA-5357801	Programmed Cell Death	21	-0.435228126225461	-1.63105093083308	0.0430292598967298	0.244728915662651	0.209484554760395	420	tags=57%, list=26%, signal=43%	LMNA/UBC/TRADD/BBC3/CHMP4A/YWHAZ/CASP8/PSMD5/RIPK1/PSMD12/RIPK3/KPNB1	Reactome	imDC
R-HSA-68886	M Phase	24	-0.404867498968179	-1.57085478627281	0.0483592400690846	0.26248139840918	0.224680433571768	82	tags=42%, list=5%, signal=40%	LMNA/UBC/SDCCAG8/CHMP4A/PSMD5/PSMD12/ANAPC16/KPNB1/NUP50/RCC2	Reactome	imDC
R-HSA-69278	Cell Cycle, Mitotic	37	-0.357913308879593	-1.60449010879789	0.0295410017445001	0.199128233981445	0.170451004217778	82	tags=22%, list=5%, signal=21%	FKBPL/PSMD12/ANAPC16/FBXL18/KPNB1/NUP50/E2F4/RCC2	Reactome	imDC
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	18	-0.555363250052072	-1.97255768841703	0.00394204832797267	0.0689721774365728	0.0590392264928443	182	tags=39%, list=11%, signal=35%	FYTTD1/CWC27/SRRT/CSTF2T/NUP50/SUGP1/POLDIP3	Reactome	imDC
R-HSA-73887	Death Receptor Signalling	18	-0.510273552851604	-1.81240660014671	0.0135156517029226	0.163989907328794	0.140373084353161	394	tags=56%, list=24%, signal=43%	UBC/USP21/TRADD/RBCK1/CASP8/RIPK1/TAB1/CHUK/MCF2L/RHOA	Reactome	imDC
R-HSA-75893	TNF signaling	10	-0.654765949281225	-1.92852635825726	0.00237816600336883	0.0541032765766408	0.046311653749814	394	tags=80%, list=24%, signal=61%	UBC/USP21/TRADD/RBCK1/CASP8/RIPK1/TAB1/CHUK	Reactome	imDC
R-HSA-76002	Platelet activation, signaling and aggregation	31	0.379216760063706	1.7071600182119	0.0132921861978922	0.163989907328794	0.140373084353161	343	tags=52%, list=21%, signal=42%	PRKCQ/CTSW/CD109/RAB27B/CD9/ITPR3/RASGRP1/LHFPL2/PLA2G4A/DGKD/RAPGEF3/CD36/PRKCH/RASGRP2/TBXA2R/TRPC6	Reactome	imDC
R-HSA-8953854	Metabolism of RNA	57	-0.411710861127936	-2.06595520353149	0.000374074502094764	0.0204553132173695	0.0175094641768113	303	tags=37%, list=19%, signal=31%	YWHAZ/DHX37/EDC4/PSMD5/NOP2/LTV1/ETF1/FYTTD1/CWC27/SRRT/RPS8/CNOT3/CSTF2T/CNOT6L/PSMD12/RPL17/NUP50/ZBTB8OS/RPL6/SUGP1/POLDIP3	Reactome	imDC
R-HSA-8953897	Cellular responses to stimuli	78	-0.281886334018065	-1.49727143658001	0.0207130314382327	0.18360463470338	0.1571630187166	136	tags=18%, list=8%, signal=17%	RPS8/HMOX2/MIOS/TERF2IP/FLCN/PSMD12/ANAPC16/RPL17/EIF2S2/NUP50/RPL6/PDIA6/ATP6V1G2/CHAC1	Reactome	imDC
R-HSA-8980692	RHOA GTPase cycle	15	-0.558362540156089	-1.88234120321133	0.00454761609471909	0.0689721774365728	0.0590392264928443	385	tags=67%, list=24%, signal=51%	ARHGAP4/VAPB/STARD13/ARHGAP23/ARHGAP44/HMOX2/SCFD1/OPHN1/MCF2L/RHOA	Reactome	imDC
R-HSA-9639288	Amino acids regulate mTORC1	11	-0.535306229738391	-1.63864617635183	0.0348826061191332	0.218918424609732	0.187391132690806	400	tags=64%, list=25%, signal=48%	ATP6V1E1/ATP6V0D1/ATP6V1F/MLST8/MIOS/FLCN/ATP6V1G2	Reactome	imDC
R-HSA-9658195	Leishmania infection	32	0.347222910247439	1.59812450971715	0.0266250825594359	0.187009548514582	0.160077577675871	187	tags=31%, list=12%, signal=28%	CD247/CD3G/CRH/ADORA2A/ITPR3/ENTPD1/ADORA2B/PTGIR/CYFIP2/NT5E	Reactome	imDC
R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	17	0.508181862919529	1.91504525505519	0.00403727988580756	0.0689721774365728	0.0590392264928443	242	tags=47%, list=15%, signal=40%	CD247/CD3G/CRH/ADORA2A/ITPR3/ADORA2B/PTGIR/CD163	Reactome	imDC
R-HSA-9711097	Cellular response to starvation	27	-0.387604662597225	-1.57426999297612	0.0344439456631629	0.218918424609732	0.187391132690806	136	tags=33%, list=8%, signal=31%	ATP6V1F/MLST8/RPS8/MIOS/FLCN/RPL17/EIF2S2/RPL6/ATP6V1G2	Reactome	imDC
R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	34	-0.378220276929808	-1.64499211284884	0.0186392240204596	0.18360463470338	0.1571630187166	442	tags=50%, list=27%, signal=37%	UBE2W/HACE1/CUL2/UBC/UBE2K/UBE2Q1/RNF14/RBCK1/PSMD5/HERC6/ASB11/UBOX5/FBXL5/PSMD12/FBXL18/LRSAM1/ASB16	Reactome	imDC
GO:0001775	cell activation	130	-0.449227672817802	-2.62380307223879	1e-10	1.74846153846154e-08	1.4582995951417e-08	249	tags=41%, list=15%, signal=38%	TREML2/LAG3/LCK/PATZ1/CTLA4/TBC1D10C/CD2/CD79B/TIGIT/BCL3/SELPLG/IL12RB1/PTPRK/IL4R/DGKD/IL15RA/RASGRP1/MZB1/UBD/JAK3/LAX1/TESPA1/CD8A/CD28/IL2RA/RASAL3/ZAP70/FOXP3/KIT/THY1/PRF1/ITK/CARD11/ADORA2A/IL18R1/RHOH/CD5/NCR3/CLC/EOMES/CD6/CCL5/PRKCQ/SLA2/LEF1/CCR7/CD3E/CD3G/TCF7/THEMIS/DPP4/CD7/CD8B	BP	imDC
GO:0002376	immune system process	273	-0.38275883786999	-2.51632489040442	1e-10	1.74846153846154e-08	1.4582995951417e-08	250	tags=33%, list=15%, signal=33%	PIM1/PATZ1/CTLA4/USP18/TBC1D10C/CD2/CD79B/TIGIT/PDE4D/BCL3/RTP4/SELPLG/RNF125/RTKN2/IL12RB1/PTPRK/CXCR6/PRKCH/ADD2/SLC9B2/LTA/BACH2/GCH1/IL4R/FFAR3/SERPINB9/CD248/CCL28/S1PR4/CXCR3/IL15RA/SEMA4D/APOBEC3G/RASGRP1/MZB1/UBD/PYHIN1/JAK3/ETS1/LAX1/ZBP1/RGS1/KIR2DS2/MYO1G/TESPA1/CD8A/CD28/IL2RA/RASAL3/ZAP70/FOXP3/KIT/PVRIG/FLT4/THY1/PRF1/ITK/CARD11/SH2D1A/ADORA2A/IL18R1/RHOH/CD5/NCR3/CLC/CTSW/GPR171/EOMES/CD6/CCL5/PRKCQ/UBASH3A/SLA2/LEF1/CCR7/CD3E/CD3G/TCF7/FLT3LG/THEMIS/DPP4/ISG20/CD7/CD96/SELL/CD247/IL32/IFITM1/CD8B	BP	imDC
GO:0002682	regulation of immune system process	152	-0.464987639798698	-2.80028022767362	1e-10	1.74846153846154e-08	1.4582995951417e-08	245	tags=40%, list=15%, signal=38%	CTLA4/USP18/TBC1D10C/CD2/CD79B/TIGIT/PDE4D/RNF125/IL12RB1/PRKCH/SLC9B2/LTA/IL4R/FFAR3/SERPINB9/CCL28/CXCR3/IL15RA/APOBEC3G/RASGRP1/MZB1/PYHIN1/JAK3/ETS1/LAX1/ZBP1/KIR2DS2/MYO1G/TESPA1/CD28/IL2RA/RASAL3/ZAP70/FOXP3/KIT/PVRIG/THY1/ITK/CARD11/SH2D1A/ADORA2A/IL18R1/RHOH/CD5/NCR3/CLC/GPR171/CD6/CCL5/PRKCQ/UBASH3A/SLA2/LEF1/CCR7/CD3E/TCF7/THEMIS/DPP4/CD96/CD247/CD8B	BP	imDC
GO:0002684	positive regulation of immune system process	106	-0.498126716396104	-2.78466158374337	1e-10	1.74846153846154e-08	1.4582995951417e-08	226	tags=42%, list=14%, signal=39%	CD2/CD79B/PDE4D/IL12RB1/PRKCH/SLC9B2/LTA/IL4R/FFAR3/IL15RA/RASGRP1/MZB1/PYHIN1/JAK3/LAX1/ZBP1/KIR2DS2/MYO1G/TESPA1/CD28/IL2RA/RASAL3/ZAP70/FOXP3/KIT/PVRIG/THY1/ITK/CARD11/SH2D1A/IL18R1/RHOH/CD5/NCR3/CD6/CCL5/PRKCQ/UBASH3A/SLA2/LEF1/CCR7/CD3E/THEMIS/DPP4/CD247	BP	imDC
GO:0002768	immune response-regulating cell surface receptor signaling pathway	44	-0.655445050740406	-3.09880069829109	1e-10	1.74846153846154e-08	1.4582995951417e-08	108	tags=59%, list=7%, signal=57%	LCK/CTLA4/CD79B/PDE4D/PRKCH/LAX1/KIR2DS2/MYO1G/TESPA1/CD28/ZAP70/FOXP3/KIT/PVRIG/THY1/ITK/CARD11/SH2D1A/NCR3/PRKCQ/UBASH3A/SLA2/CCR7/CD3E/THEMIS/CD247	BP	imDC
GO:0006955	immune response	188	-0.424567415317042	-2.65584673850878	1e-10	1.74846153846154e-08	1.4582995951417e-08	212	tags=34%, list=13%, signal=33%	PDE4D/BCL3/RTP4/RNF125/IL12RB1/CXCR6/PRKCH/LTA/BACH2/GCH1/IL4R/FFAR3/SERPINB9/CCL28/S1PR4/CXCR3/SEMA4D/APOBEC3G/RASGRP1/UBD/PYHIN1/JAK3/ETS1/LAX1/ZBP1/RGS1/KIR2DS2/MYO1G/TESPA1/CD8A/CD28/IL2RA/ZAP70/FOXP3/KIT/PVRIG/THY1/PRF1/ITK/CARD11/SH2D1A/IL18R1/NCR3/CLC/CTSW/EOMES/CD6/CCL5/PRKCQ/UBASH3A/SLA2/LEF1/CCR7/CD3E/CD3G/TCF7/THEMIS/ISG20/CD7/CD96/CD247/IL32/IFITM1/CD8B	BP	imDC
GO:0007159	leukocyte cell-cell adhesion	64	-0.577472921820757	-2.94993402408327	1e-10	1.74846153846154e-08	1.4582995951417e-08	292	tags=56%, list=18%, signal=48%	SHH/LAG3/LCK/SLC39A8/CTLA4/TIGIT/SELPLG/IL12RB1/ADD2/IL4R/CCL28/SEMA4D/RASGRP1/NT5E/JAK3/ETS1/LAX1/TESPA1/CD28/IL2RA/RASAL3/ZAP70/FOXP3/THY1/CARD11/ADORA2A/RHOH/CD5/CD6/CCL5/PRKCQ/LEF1/CCR7/CD3E/DPP4/SELL	BP	imDC
