##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Innate Immune System	Reactome	R-HSA-168249	26	1043	3.23709733211e-14	2.09798902767e-12	OBBP2|LCN2|CD36|PGLYRP1|SERPING1|CCK|IL1B|S100B|CAND1|CEACAM1|PPBP|DEFA3|S100A8|FADD|C3|LYN|C5|SLPI|FRK|LTF|SELL|TNFRSF1B|ITK|ITGAV|MMP8|MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Chemokine receptors bind chemokines	Reactome	R-HSA-380108	9	48	8.46155141069e-13	4.31719154954e-11	CCL1|CXCL5|CCL5|PPBP|CCR3|PF4|CCL21|CXCL10|CXCL13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380108
MAPK signaling pathway	KEGG PATHWAY	hsa04010	15	295	9.1109155185e-13	4.55166154445e-11	FIGF|PDGFA|PDGFRA|PDGFC|PDGFRB|TNFRSF1A|CSF1R|MST1|NTRK2|ANGPT4|IL1B|FGF4|FGFR2|BDNF|IL1R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:4915%09red/hsa:3553%09red/hsa:5154%09red/hsa:3554%09red/hsa:1436%09red/hsa:5156%09red/hsa:56034%09red/hsa:7132%09red/hsa:5159%09red/hsa:2277%09red/hsa:2249%09red/hsa:627%09red/hsa:2263%09red/hsa:51378%09red/hsa:6789%09red
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	11	108	9.98751085448e-13	4.88776551613e-11	TNFRSF1B|IL4R|FN1|IL2RG|LCN2|CD36|IL6R|IL12A|MMP9|IL1B|MMP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Extracellular matrix organization	Reactome	R-HSA-1474244	15	298	1.04626728257e-12	5.01789788722e-11	BMP7|PDGFA|NCAM1|FN1|MMP12|MMP13|LTBP1|ITGA2B|ITGAV|THBS1|CEACAM1|SPARC|MMP8|MMP9|MMP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244
Other interleukin signaling	Reactome	R-HSA-449836	14	275	5.32199054136e-12	2.20036781348e-10	PDGFRB|PDGFRA|CSF2RA|GFRA3|FN1|IL2RG|ITGA2B|CSF1R|IL2RB|IL16|BTC|NRG1|FGF4|NCAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836
Neutrophil degranulation	Reactome	R-HSA-6798695	17	478	6.20125634536e-12	2.52044283325e-10	SELL|SLPI|TNFRSF1B|S100A8|CAND1|LCN2|FRK|PGLYRP1|ITGAV|CEACAM1|PPBP|CD36|MMP8|MMP9|C3|OBBP2|LTF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6798695
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	10	93	6.73950322759e-12	2.64939815406e-10	CXCL5|IL17B|LCN2|FADD|S100A8|MMP9|CXCL10|IL1B|MMP13|MMP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:4318%09red/hsa:27190%09red/hsa:3627%09red/hsa:3553%09red/hsa:4314%09red/hsa:6374%09red/hsa:8772%09red/hsa:3934%09red/hsa:6279%09red/hsa:4322%09red
Hematopoietic cell lineage	KEGG PATHWAY	hsa04640	10	97	9.9116297838e-12	3.83356261638e-10	IL7R|CSF2RA|IL4R|ITGA2B|CSF1R|CD36|IL6R|IL1B|CD24|IL1R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04640/hsa:3674%09red/hsa:3553%09red/hsa:3570%09red/hsa:3554%09red/hsa:1436%09red/hsa:1438%09red/hsa:100133941%09red/hsa:948%09red/hsa:3566%09red/hsa:3575%09red
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	13	239	1.43552924559e-11	5.29599866295e-10	PDGFRB|PDGFRA|CSF2RA|GFRA3|FN1|IL2RG|ITGA2B|IL2RB|IL6R|BTC|NRG1|FGF4|NCAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
Peptide ligand-binding receptors	Reactome	R-HSA-375276	12	188	1.55053908906e-11	5.63362535693e-10	CCL1|CXCL5|CCL5|CCL21|PPBP|CCR3|PF4|C3|CXCL10|CXCL13|HCRTR2|C5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-375276
Chemokine signaling pathway	KEGG PATHWAY	hsa04062	12	190	1.74204645227e-11	6.23496625752e-10	CCL1|CXCL5|ITK|CCL5|CCL14|PPBP|CCR3|PF4|CCL21|CXCL10|CXCL13|LYN	http://www.genome.jp/kegg-bin/show_pathway?hsa04062/hsa:1232%09red/hsa:3702%09red/hsa:6366%09red/hsa:3627%09red/hsa:6374%09red/hsa:6346%09red/hsa:5473%09red/hsa:5196%09red/hsa:6352%09red/hsa:10563%09red/hsa:4067%09red/hsa:6358%09red
Interleukin-10 signaling	Reactome	R-HSA-6783783	8	47	3.25749737368e-11	1.1002082679e-09	TNFRSF1B|IL10RA|TNFRSF1A|CCL5|IL12A|CXCL10|IL1B|IL1R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783783
Hemostasis	Reactome	R-HSA-109582	18	617	3.35941632391e-11	1.1188722701e-09	SELL|CEACAM1|ANGPT4|FN1|SELP|SPARC|CD36|PLAT|CD244|PPBP|SERPING1|ITGAV|ITGA2B|LYN|THBS1|FIGF|SERPIND1|PF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
TNF signaling pathway	KEGG PATHWAY	hsa04668	10	112	3.7073752667e-11	1.21784738213e-09	FIGF|CXCL5|TNFRSF1B|TNFRSF1A|FADD|CCL5|MMP9|CXCL10|IL1B|MMP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:4318%09red/hsa:6352%09red/hsa:3627%09red/hsa:7133%09red/hsa:3553%09red/hsa:4314%09red/hsa:7132%09red/hsa:2277%09red/hsa:6374%09red/hsa:8772%09red
TNFs bind their physiological receptors	Reactome	R-HSA-5669034	7	29	6.65338037955e-11	2.12730748669e-09	TNFRSF1B|EDAR|TNFSF14|TNFRSF1A|TNFRSF17|TNFRSF25|TNFRSF18	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5669034
MAPK family signaling cascades	Reactome	R-HSA-5683057	13	278	8.59628589431e-11	2.7123544177e-09	PDGFRB|PDGFRA|CSF2RA|GFRA3|FN1|IL2RG|ITGA2B|IL2RB|IL6R|BTC|NRG1|FGF4|NCAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683057
Platelet degranulation 	Reactome	R-HSA-114608	10	128	1.26413404488e-10	3.88640184566e-09	FIGF|FN1|ITGA2B|SPARC|CD36|THBS1|PPBP|SERPING1|PF4|SELP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114608
Ras signaling pathway	KEGG PATHWAY	hsa04014	12	232	1.55944238513e-10	4.68797286734e-09	FIGF|PDGFA|PDGFRA|PDGFC|PDGFRB|CSF1R|MST1|NTRK2|BDNF|FGF4|FGFR2|ANGPT4	http://www.genome.jp/kegg-bin/show_pathway?hsa04014/hsa:5156%09red/hsa:5154%09red/hsa:1436%09red/hsa:4915%09red/hsa:56034%09red/hsa:5159%09red/hsa:2277%09red/hsa:2249%09red/hsa:627%09red/hsa:2263%09red/hsa:51378%09red/hsa:6789%09red
RAF/MAP kinase cascade	Reactome	R-HSA-5673001	12	234	1.7129449563e-10	5.07116296938e-09	PDGFRB|PDGFRA|CSF2RA|GFRA3|FN1|IL2RG|ITGA2B|IL2RB|BTC|NRG1|FGF4|NCAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673001
Response to elevated platelet cytosolic Ca2+	Reactome	R-HSA-76005	10	133	1.7975246801e-10	5.25666363765e-09	FIGF|FN1|ITGA2B|SPARC|CD36|THBS1|PPBP|SERPING1|PF4|SELP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76005
Fluid shear stress and atherosclerosis	KEGG PATHWAY	hsa05418	10	139	2.69576626668e-10	7.7884909729e-09	PDGFA|TNFRSF1A|ITGA2B|ITGAV|PLAT|BMPR1A|BMPR2|MMP9|IL1B|IL1R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05418/hsa:3674%09red/hsa:4318%09red/hsa:5154%09red/hsa:3554%09red/hsa:657%09red/hsa:659%09red/hsa:3685%09red/hsa:3553%09red/hsa:7132%09red/hsa:5327%09red
FLT3 Signaling	Reactome	R-HSA-9607240	12	252	3.84735743792e-10	1.08540742778e-08	PDGFRB|PDGFRA|CSF2RA|GFRA3|FN1|IL2RG|ITGA2B|IL2RB|BTC|NRG1|FGF4|NCAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	11	210	8.19138493237e-10	2.25780931814e-08	FIGF|PDGFA|PDGFRA|PDGFC|PDGFRB|ITGA2B|CSF1R|THBS1|FGF4|FGFR2|ANGPT4	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:3674%09red/hsa:5156%09red/hsa:5154%09red/hsa:1436%09red/hsa:56034%09red/hsa:5159%09red/hsa:2277%09red/hsa:2249%09red/hsa:7057%09red/hsa:2263%09red/hsa:51378%09red
EGFR tyrosine kinase inhibitor resistance	KEGG PATHWAY	hsa01521	8	79	1.41394416134e-09	3.80970572911e-08	PDGFA|PDGFRA|PDGFC|PDGFRB|IL6R|NRG1|FGFR2|AXL	http://www.genome.jp/kegg-bin/show_pathway?hsa01521/hsa:5156%09red/hsa:5154%09red/hsa:56034%09red/hsa:3570%09red/hsa:5159%09red/hsa:558%09red/hsa:2263%09red/hsa:3084%09red
Malaria	KEGG PATHWAY	hsa05144	7	49	1.73692061189e-09	4.57707211791e-08	LRP1|CD40|CD36|THBS1|IL12A|IL1B|SELP	http://www.genome.jp/kegg-bin/show_pathway?hsa05144/hsa:3553%09red/hsa:4035%09red/hsa:3592%09red/hsa:948%09red/hsa:958%09red/hsa:7057%09red/hsa:6403%09red
GPCR ligand binding	Reactome	R-HSA-500792	14	454	2.9133208401e-09	7.43206741975e-08	CCL1|CXCL5|PTH|CCL5|PTHLH|CCL21|PPBP|CCR3|PF4|C3|CXCL10|CXCL13|HCRTR2|C5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-500792
Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	9	135	4.06313658713e-09	9.94224646523e-08	SELL|CEACAM1|FN1|ITGAV|CD244|PF4|LYN|SELP|ANGPT4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202733
TGF-beta signaling pathway	KEGG PATHWAY	hsa04350	8	94	5.06244107896e-09	1.19197000026e-07	BMP7|BMP5|LTBP1|ACVR1B|MIF|BMPR1A|BMPR2|THBS1	http://www.genome.jp/kegg-bin/show_pathway?hsa04350/hsa:653%09red/hsa:655%09red/hsa:657%09red/hsa:659%09red/hsa:91%09red/hsa:7057%09red/hsa:4052%09red/hsa:268%09red
Class A/1 (Rhodopsin-like receptors)	Reactome	R-HSA-373076	12	322	5.46750496675e-09	1.25394840023e-07	CCL1|CXCL5|CCL5|CCL21|PPBP|CCR3|PF4|C3|CXCL10|CXCL13|HCRTR2|C5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373076
Prostate cancer	KEGG PATHWAY	hsa05215	8	97	6.37626268568e-09	1.44247904908e-07	PDGFA|PDGFRA|PDGFC|PDGFRB|PLAT|MMP9|FGFR2|MMP3	http://www.genome.jp/kegg-bin/show_pathway?hsa05215/hsa:5156%09red/hsa:4318%09red/hsa:5154%09red/hsa:56034%09red/hsa:4314%09red/hsa:5327%09red/hsa:5159%09red/hsa:2263%09red
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	11	260	6.90857445451e-09	1.53395940203e-07	FIGF|FN1|ITGA2B|SPARC|CD36|THBS1|PPBP|SERPING1|PF4|LYN|SELP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
NF-kappa B signaling pathway	KEGG PATHWAY	hsa04064	8	100	7.97501463847e-09	1.72289054982e-07	TNFSF14|TNFRSF1A|CD40|EDAR|CCL21|IL1B|LYN|IL1R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04064/hsa:3553%09red/hsa:4067%09red/hsa:3554%09red/hsa:6366%09red/hsa:7132%09red/hsa:958%09red/hsa:8740%09red/hsa:10913%09red
Th17 cell differentiation	KEGG PATHWAY	hsa04659	8	107	1.31089136729e-08	2.75747149014e-07	IL2RB|IL4R|IL2RG|IL21R|IL6R|IL1B|IL6ST|IL1R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04659/hsa:3553%09red/hsa:3554%09red/hsa:3560%09red/hsa:3572%09red/hsa:3570%09red/hsa:3566%09red/hsa:50615%09red/hsa:3561%09red
Regulation of actin cytoskeleton	KEGG PATHWAY	hsa04810	10	214	1.39232776717e-08	2.90330607449e-07	PDGFA|PDGFRA|PDGFC|FN1|PDGFRB|ITGA2B|CFD|ITGAV|FGF4|FGFR2	http://www.genome.jp/kegg-bin/show_pathway?hsa04810/hsa:200576%09red/hsa:5156%09red/hsa:5154%09red/hsa:56034%09red/hsa:3685%09red/hsa:5159%09red/hsa:2335%09red/hsa:3674%09red/hsa:2249%09red/hsa:2263%09red
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	10	225	2.19292444467e-08	4.49455796437e-07	PDGFRA|IL10RA|TNFRSF1A|CCL5|ITGAV|IL6R|CCR3|FADD|IL1B|IL1R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:1232%09red/hsa:5156%09red/hsa:3553%09red/hsa:3554%09red/hsa:3570%09red/hsa:3685%09red/hsa:8772%09red/hsa:7132%09red/hsa:6352%09red/hsa:3587%09red
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	9	186	5.66853926349e-08	1.07882199634e-06	PDGFA|IL2RB|TEC|CSF1R|CD40|PLAT|DEFA3|MMP9|MMP3	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:4318%09red/hsa:5154%09red/hsa:1436%09red/hsa:3560%09red/hsa:4314%09red/hsa:958%09red/hsa:5327%09red/hsa:8013%09red/hsa:1668%09red
G alpha (i) signalling events	Reactome	R-HSA-418594	12	405	6.27384469542e-08	1.16625423098e-06	CCL1|CXCL5|CCL5|LRP1|CCL21|PPBP|CCR3|PF4|C3|CXCL10|CXCL13|C5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418594
Focal adhesion	KEGG PATHWAY	hsa04510	9	199	9.84213946871e-08	1.71025003232e-06	FIGF|PDGFA|PDGFRA|PDGFC|FN1|PDGFRB|ITGA2B|ITGAV|THBS1	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:3674%09red/hsa:5156%09red/hsa:5154%09red/hsa:56034%09red/hsa:3685%09red/hsa:5159%09red/hsa:2335%09red/hsa:2277%09red/hsa:7057%09red
TNFR2 non-canonical NF-kB pathway	Reactome	R-HSA-5668541	7	100	1.66660084096e-07	2.81607683325e-06	TNFRSF1B|EDAR|TNFSF14|TNFRSF1A|TNFRSF17|TNFRSF25|TNFRSF18	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5668541
Post-translational protein phosphorylation	Reactome	R-HSA-8957275	7	108	2.73155842962e-07	4.28122687204e-06	LTBP1|FN1|IGFBP7|IGFBP4|C3|LGALS1|SERPIND1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8957275
Pertussis	KEGG PATHWAY	hsa05133	6	76	6.75774240427e-07	1.00652585624e-05	CXCL5|IL12A|SERPING1|C3|IL1B|C5	http://www.genome.jp/kegg-bin/show_pathway?hsa05133/hsa:3553%09red/hsa:3592%09red/hsa:6374%09red/hsa:718%09red/hsa:710%09red/hsa:727%09red
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Reactome	R-HSA-381426	7	125	6.96961580843e-07	1.02534593304e-05	LTBP1|FN1|IGFBP7|IGFBP4|C3|LGALS1|SERPIND1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381426
Interleukin-2 family signaling	Reactome	R-HSA-451927	5	44	1.12919408644e-06	1.53852694278e-05	IL2RB|IL21R|CSF2RA|IL9|IL2RG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-451927
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Reactome	R-HSA-6811558	6	89	1.61182280637e-06	2.15930228473e-05	PDGFRB|PDGFRA|IL1RL1|BTC|NRG1|FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811558
Rheumatoid arthritis	KEGG PATHWAY	hsa05323	6	91	1.82145061771e-06	2.42657698959e-05	CTLA4|CXCL5|CCL5|PTH|IL1B|MMP3	http://www.genome.jp/kegg-bin/show_pathway?hsa05323/hsa:3553%09red/hsa:5741%09red/hsa:4314%09red/hsa:6374%09red/hsa:6352%09red/hsa:1493%09red
Cell adhesion molecules (CAMs)	KEGG PATHWAY	hsa04514	7	146	1.87722006385e-06	2.48705730007e-05	SELL|CTLA4|F3|CD40|ITGAV|SELP|NCAM1	http://www.genome.jp/kegg-bin/show_pathway?hsa04514/hsa:4684%09red/hsa:3685%09red/hsa:958%09red/hsa:1272%09red/hsa:6402%09red/hsa:6403%09red/hsa:1493%09red
Negative regulation of the PI3K/AKT network	Reactome	R-HSA-199418	6	96	2.44433329202e-06	3.22061056827e-05	PDGFRB|PDGFRA|IL1RL1|BTC|NRG1|FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199418
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	6	103	3.59804129362e-06	4.49380365734e-05	TNFRSF1A|CCL5|IL12A|FADD|C3|IL1B	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:3553%09red/hsa:6352%09red/hsa:3592%09red/hsa:7132%09red/hsa:718%09red/hsa:8772%09red
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	6	104	3.79399576919e-06	4.66564197667e-05	CCL5|CD40|IL12A|FADD|CXCL10|IL1B	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:3553%09red/hsa:3592%09red/hsa:3627%09red/hsa:8772%09red/hsa:958%09red/hsa:6352%09red
Developmental Biology	Reactome	R-HSA-1266738	16	1082	3.82665228282e-06	4.68179192562e-05	EPHB2|F3|LYN|ACVR1B|EPHA7|ITGA2B|CD36|CD24|LEP|ITGAV|GFRA3|MMP9|KLK14|IL6R|NCAM1|CFC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Metal sequestration by antimicrobial proteins	Reactome	R-HSA-6799990	3	6	4.2073414471e-06	5.06995215585e-05	LTF|S100A8|LCN2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6799990
