##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	4	88	0.000260662389354	0.00513226529718	AREG|CDKN1A|IRS2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219528
Longevity regulating pathway	KEGG PATHWAY	hsa04211	4	89	0.000271680212896	0.00519780633729	RELA|IRS2|PIK3R1|PRKACB	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:5567%09red/hsa:5295%09red/hsa:8660%09red/hsa:5970%09red
Influenza A	KEGG PATHWAY	hsa05164	5	167	0.00028644987151	0.00537889203168	RELA|DNAJB1|KPNA2|PIK3R1|CASP1	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:834%09red/hsa:3838%09red/hsa:3337%09red/hsa:5295%09red/hsa:5970%09red
DNA replication	KEGG PATHWAY	hsa03030	3	36	0.000301302342361	0.00553655473542	JUNB|PRIM1|RPA2	http://www.genome.jp/kegg-bin/show_pathway?hsa03030/hsa:10535%09red/hsa:5557%09red/hsa:6118%09red
@@DNA Replication	Reactome	R-HSA-69306	2	126	0.0680868501965	0.123616949148	PRIM1|RPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69306
NOD1/2 Signaling Pathway	Reactome	R-HSA-168638	3	36	0.000301302342361	0.00553655473542	CASP2|TNFAIP3|CASP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168638
Developmental Biology	Reactome	R-HSA-1266738	12	1082	0.000305766336473	0.00553655473542	GSPT1|SIAH2|CDKN1A|PRKACB|FLI1|IRS2|MEF2D|ETF1|PIK3R1|CXCR4|RELA|MED26	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	4	93	0.00031911379837	0.00572710427517	RELA|TRAF4|JUND|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:9618%09red/hsa:3727%09red/hsa:7128%09red/hsa:5970%09red
Other interleukin signaling	Reactome	R-HSA-449836	6	275	0.000371379501993	0.00640328838876	AREG|IRS2|PIK3R1|DUSP5|DUSP4|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836
RET signaling	Reactome	R-HSA-8853659	3	39	0.000375735364035	0.00640328838876	IRS2|PIK3R1|PRKACB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853659
Negative regulation of MAPK pathway	Reactome	R-HSA-5675221	3	40	0.000402936211934	0.00675334411407	DUSP5|DUSP4|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675221
Kaposi sarcoma-associated herpesvirus infection	KEGG PATHWAY	hsa05167	5	186	0.000462722097392	0.0073978339785	ZFP36|RELA|GABARAPL1|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05167/hsa:1026%09red/hsa:7538%09red/hsa:23710%09red/hsa:5295%09red/hsa:5970%09red
T cell receptor signaling pathway	KEGG PATHWAY	hsa04660	4	103	0.000463276585439	0.0073978339785	RELA|CD3D|MAP3K8|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04660/hsa:1326%09red/hsa:5295%09red/hsa:915%09red/hsa:5970%09red
Interleukin-1 processing	Reactome	R-HSA-448706	2	8	0.000485743192645	0.00751974957774	RELA|CASP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448706
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	4	109	0.000569208546381	0.0085203618055	PFKFB3|RELA|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:1026%09red/hsa:5209%09red/hsa:5295%09red/hsa:5970%09red
PI3K/AKT activation	Reactome	R-HSA-198203	2	9	0.000592392019021	0.0085203618055	IRS2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198203
Cellular responses to stress	Reactome	R-HSA-2262752	7	422	0.000608213446605	0.00868631598391	NR3C1|DNAJB1|RPA2|HSPA9|RELA|DCTN6|CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
Signal Transduction	Reactome	R-HSA-162582	20	2689	0.000642401423054	0.00904715337468	AREG|NR3C1|CASP2|IRS2|PTGER4|DUSP2|CDKN1A|PRKACB|JUND|TNFAIP3|RGS1|KPNA2|PIK3R1|CXCR4|DUSP5|DUSP4|RELA|TNKS2|DNAJB1|RDH11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Viral carcinogenesis	KEGG PATHWAY	hsa05203	5	201	0.000651588568332	0.00911325252812	RELA|REL|CDKN1A|PIK3R1|PRKACB	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:1026%09red/hsa:5567%09red/hsa:5966%09red/hsa:5295%09red/hsa:5970%09red
Post-translational protein modification	Reactome	R-HSA-597592	13	1412	0.0009656988499	0.011824907198	AREG|NR3C1|LYPD3|SIAH2|ST6GAL1|NR4A2|TNFAIP3|USP42|CSNK1D|JOSD1|RELA|TNKS2|DCTN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
Regulation of lipolysis in adipocytes	KEGG PATHWAY	hsa04923	3	55	0.000971473058164	0.011824907198	IRS2|PIK3R1|PRKACB	http://www.genome.jp/kegg-bin/show_pathway?hsa04923/hsa:5567%09red/hsa:5295%09red/hsa:8660%09red
HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	3	55	0.000971473058164	0.011824907198	DNAJB1|DCTN6|NR3C1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371497
Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	Reactome	R-HSA-9027276	2	12	0.00097374728899	0.011824907198	IRS2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027276
Regulation of glycolysis by fructose 2,6-bisphosphate metabolism	Reactome	R-HSA-9634600	2	12	0.00097374728899	0.011824907198	PFKFB3|PRKACB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9634600
Osteoclast differentiation	KEGG PATHWAY	hsa04380	4	128	0.00101752487452	0.0122102984943	RELA|JUND|PIK3R1|FOSL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04380/hsa:2355%09red/hsa:3727%09red/hsa:5295%09red/hsa:5970%09red
Endometrial cancer	KEGG PATHWAY	hsa05213	3	58	0.00112491124308	0.0132634883777	GADD45A|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05213/hsa:1647%09red/hsa:1026%09red/hsa:5295%09red
RAF/MAP kinase cascade	Reactome	R-HSA-5673001	5	234	0.00126416572551	0.0145660184043	DUSP5|AREG|DUSP4|IRS2|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673001
Removal of the Flap Intermediate	Reactome	R-HSA-69166	2	14	0.00127847696054	0.0145660184043	PRIM1|RPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69166
Early Phase of HIV Life Cycle	Reactome	R-HSA-162594	2	14	0.00127847696054	0.0145660184043	XRCC5|CXCR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162594
Measles	KEGG PATHWAY	hsa05162	4	138	0.00133269658514	0.0150150481925	RELA|CD3D|PIK3R1|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:7128%09red/hsa:5295%09red/hsa:915%09red/hsa:5970%09red
Longevity regulating pathway - multiple species	KEGG PATHWAY	hsa04213	3	62	0.00135211910895	0.0150664700712	IRS2|PIK3R1|PRKACB	http://www.genome.jp/kegg-bin/show_pathway?hsa04213/hsa:5567%09red/hsa:5295%09red/hsa:8660%09red
Constitutive Signaling by Aberrant PI3K in Cancer	Reactome	R-HSA-2219530	3	62	0.00135211910895	0.0150664700712	AREG|IRS2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219530
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	5	239	0.00138491999207	0.0153476379449	DUSP5|AREG|DUSP4|IRS2|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
The NLRP3 inflammasome	Reactome	R-HSA-844456	2	15	0.00144578704634	0.0155135244973	RELA|CASP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-844456
Processive synthesis on the lagging strand	Reactome	R-HSA-69183	2	15	0.00144578704634	0.0155135244973	PRIM1|RPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69183
Costimulation by the CD28 family	Reactome	R-HSA-388841	3	65	0.00154012976642	0.01643885877	MAP3K8|CD3D|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	5	247	0.00159554357558	0.0167075427572	AREG|CDKN1A|TNKS2|IRS2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Non-small cell lung cancer	KEGG PATHWAY	hsa05223	3	66	0.0016062469567	0.0167075427572	GADD45A|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05223/hsa:1647%09red/hsa:1026%09red/hsa:5295%09red
Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	3	66	0.0016062469567	0.0167075427572	DNAJB1|HSPA9|RPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371453
GAB1 signalosome	Reactome	R-HSA-180292	2	16	0.00162297136251	0.0167075427572	AREG|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180292
FOXO-mediated transcription of cell death genes	Reactome	R-HSA-9614657	2	16	0.00162297136251	0.0167075427572	DDIT3|BCL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614657
Non-alcoholic fatty liver disease (NAFLD)	KEGG PATHWAY	hsa04932	4	149	0.00175187223171	0.0176756063975	RELA|DDIT3|IRS2|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04932/hsa:8660%09red/hsa:5295%09red/hsa:1649%09red/hsa:5970%09red
FOXO-mediated transcription of cell cycle genes	Reactome	R-HSA-9617828	2	17	0.0018099633684	0.0179053937127	GADD45A|CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9617828
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	Reactome	R-HSA-450513	2	17	0.0018099633684	0.0179053937127	ZFP36|DCP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450513
Metabolism of RNA	Reactome	R-HSA-8953854	8	667	0.0019575589314	0.0190861995812	SRSF7|GSPT1|DDX47|ETF1|CSNK1D|WBP11|DCP1A|ZFP36	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
Melanoma	KEGG PATHWAY	hsa05218	3	72	0.00204031761148	0.019703638648	GADD45A|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05218/hsa:1647%09red/hsa:1026%09red/hsa:5295%09red
Signaling by Nuclear Receptors	Reactome	R-HSA-9006931	5	264	0.00212011820963	0.0201859142212	JUND|AREG|KPNA2|PIK3R1|RDH11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006931
Cellular senescence	KEGG PATHWAY	hsa04218	4	160	0.00225477393071	0.0205976645562	GADD45A|RELA|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04218/hsa:1647%09red/hsa:1026%09red/hsa:5295%09red/hsa:5970%09red
@@Cellular Senescence	Reactome	R-HSA-2559583	2	194	0.138836817339	0.183724185966	RELA|CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559583
Glioma	KEGG PATHWAY	hsa05214	3	75	0.00228209760977	0.0207537845409	GADD45A|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:1647%09red/hsa:1026%09red/hsa:5295%09red
Necroptosis	KEGG PATHWAY	hsa04217	4	162	0.0023558254894	0.0213286343415	SPATA2|FTH1|TNFAIP3|CASP1	http://www.genome.jp/kegg-bin/show_pathway?hsa04217/hsa:834%09red/hsa:9825%09red/hsa:7128%09red/hsa:2495%09red
Signaling by NTRK1 (TRKA)	Reactome	R-HSA-187037	3	76	0.00236645992657	0.0213296921382	DUSP4|IRS2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187037
Lagging Strand Synthesis	Reactome	R-HSA-69186	2	20	0.00242912502285	0.0216064278348	PRIM1|RPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69186
Inflammasomes	Reactome	R-HSA-622312	2	20	0.00242912502285	0.0216064278348	RELA|CASP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-622312
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	Reactome	R-HSA-6804115	2	20	0.00242912502285	0.0216064278348	PLK3|BTG2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804115
CD209 (DC-SIGN) signaling	Reactome	R-HSA-5621575	2	21	0.00265468891122	0.023205642724	RELA|PRKACB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5621575
Axon guidance	Reactome	R-HSA-422475	7	549	0.00267381922944	0.0232060633843	GSPT1|SIAH2|CXCR4|IRS2|ETF1|PIK3R1|PRKACB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
@@Axon guidance	KEGG PATHWAY	hsa04360	2	181	0.124297903786	0.172603257315	PIK3R1|CXCR4	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:5295%09red/hsa:7852%09red
