##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Graft-versus-host disease	KEGG PATHWAY	hsa05332	5	41	9.65571067584e-07	0.000101097862291	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa05332/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:3117%09red/hsa:942%09red
Type I diabetes mellitus	KEGG PATHWAY	hsa04940	5	43	1.19869289544e-06	0.000117357742525	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa04940/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:3117%09red/hsa:942%09red
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	10	354	1.68255631434e-06	0.000145505270289	IL7R|ERBB3|PPP2R1B|THEM4|IL2RA|ITGB8|IL6R|GNGT2|PPP2R3C|FLG	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:2793%09red/hsa:5519%09red/hsa:3559%09red/hsa:3570%09red/hsa:3575%09red/hsa:3696%09red/hsa:2065%09red/hsa:2260%09red/hsa:55012%09red/hsa:117145%09red
Adaptive Immune System	Reactome	R-HSA-1280218	14	748	1.69850510065e-06	0.000145505270289	PPP2R1B|THEM4|INPP5D|HLA-C|HLA-B|CARD11|NFKBIA|HLA-DRB1|CD86|TNFRSF14|TLR1|ACTR1A|FBXW2|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218
Cell adhesion molecules (CAMs)	KEGG PATHWAY	hsa04514	7	146	2.34378413744e-06	0.000185339237945	HLA-C|ITGB8|HLA-DRB1|CD86|HLA-B|HLA-DQA1|F11R	http://www.genome.jp/kegg-bin/show_pathway?hsa04514/hsa:942%09red/hsa:3696%09red/hsa:3117%09red/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:50848%09red
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	8	219	3.08809220247e-06	0.000213114206185	IL2RA|HLA-DRB1|HLA-C|HLA-B|NFKBIA|SMAD3|CRTC3|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:4088%09red/hsa:3559%09red/hsa:4792%09red/hsa:64784%09red/hsa:3117%09red/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red
Autoimmune thyroid disease	KEGG PATHWAY	hsa05320	5	53	3.10964308635e-06	0.000213114206185	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa05320/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:3117%09red/hsa:942%09red
Viral protein interaction with cytokine and cytokine receptor	KEGG PATHWAY	hsa04061	6	100	3.70853057777e-06	0.000233363010389	IL2RA|IL18RAP|IL18R1|IL6R|TNFRSF14|CCR7	http://www.genome.jp/kegg-bin/show_pathway?hsa04061/hsa:3570%09red/hsa:1236%09red/hsa:8807%09red/hsa:8764%09red/hsa:3559%09red/hsa:8809%09red
Innate Immune System	Reactome	R-HSA-168249	16	1043	3.74561252083e-06	0.000233363010389	STAT6|PPP2R1B|TRAF3|RAB24|ORMDL3|HLA-C|HLA-B|CARD11|NFKBIA|FCER1G|GLB1|PA2G4|TLR1|TNFAIP3|IQGAP1|POLR3H	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Disease	Reactome	R-HSA-1643685	16	1049	4.02243414628e-06	0.000243238958963	RPS26|ADAMTS4|PPP2R1B|TRAF3|HDAC7|NFKBIA|CAMK4|GLB1|CD86|SLC22A5|TLR1|RASA2|HDAC3|SMAD3|IQGAP1|FLG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Viral myocarditis	KEGG PATHWAY	hsa05416	5	60	5.48512476412e-06	0.000322211900429	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa05416/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:3117%09red/hsa:942%09red
Pathways in cancer	KEGG PATHWAY	hsa05200	11	530	8.98155735635e-06	0.000504695724725	IL7R|IL2RA|TRAF3|STAT6|PTGER4|IL13|NFKBIA|IL6R|GNGT2|SMAD3|FLG	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3596%09red/hsa:3559%09red/hsa:2793%09red/hsa:3570%09red/hsa:4792%09red/hsa:6778%09red/hsa:2260%09red/hsa:3575%09red/hsa:4088%09red/hsa:7187%09red/hsa:5734%09red
Interleukin-18 signaling	Reactome	R-HSA-9012546	3	8	9.08255924846e-06	0.000504695724725	IL13|IL18R1|IL18RAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9012546
Asthma	KEGG PATHWAY	hsa05310	4	31	1.01599743286e-05	0.000522600637682	FCER1G|HLA-DRB1|IL13|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa05310/hsa:3123%09red/hsa:3596%09red/hsa:3117%09red/hsa:2207%09red
Viral carcinogenesis	KEGG PATHWAY	hsa05203	7	201	1.75001691901e-05	0.000817735178521	HDAC3|TRAF3|HDAC7|HLA-C|HLA-B|NFKBIA|RASA2	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:5922%09red/hsa:4792%09red/hsa:9734%09red/hsa:8841%09red/hsa:3106%09red/hsa:3107%09red/hsa:7187%09red
Interleukin-1 family signaling	Reactome	R-HSA-446652	6	138	2.14803774198e-05	0.000960079477719	NFKBIA|IL1RL1|IL18RAP|IL13|IL18R1|SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446652
Signal Transduction	Reactome	R-HSA-162582	25	2689	4.33200823661e-05	0.00174106147101	PPP2R1B|IL1RL1|HDAC7|NFKBIA|ZNF217|SMAD3|CCR7|HDAC3|IQGAP1|STAT6|THEM4|PTGER4|CAMK4|CD86|USF1|F11R|IL6R|SH2B3|RASA2|IL2RA|RGS14|TNFAIP3|RUNX3|ARHGAP15|GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Downstream TCR signaling	Reactome	R-HSA-202424	5	96	4.70492708887e-05	0.00182515662164	CARD11|HLA-DRB1|NFKBIA|INPP5D|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202424
Hematopoietic cell lineage	KEGG PATHWAY	hsa04640	5	97	4.93216745678e-05	0.00187787709095	IL7R|IL2RA|HLA-DRB1|HLA-DQA1|IL6R	http://www.genome.jp/kegg-bin/show_pathway?hsa04640/hsa:3559%09red/hsa:3123%09red/hsa:3570%09red/hsa:3117%09red/hsa:3575%09red
Jak-STAT signaling pathway	KEGG PATHWAY	hsa04630	6	162	5.09814752438e-05	0.0019057802382	IL7R|IL2RA|STAT6|IL13|IL6R|TSLP	http://www.genome.jp/kegg-bin/show_pathway?hsa04630/hsa:3596%09red/hsa:3559%09red/hsa:3570%09red/hsa:3575%09red/hsa:6778%09red/hsa:85480%09red
NF-kappa B signaling pathway	KEGG PATHWAY	hsa04064	5	100	5.66508513501e-05	0.00197413814196	TRAF3|CARD11|NFKBIA|TNFRSF11A|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04064/hsa:8792%09red/hsa:4792%09red/hsa:7128%09red/hsa:7187%09red/hsa:84433%09red
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	5	108	8.03380903307e-05	0.00254115559569	IL13|STAT6|ALOX15|BCL6|IL6R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Kaposi sarcoma-associated herpesvirus infection	KEGG PATHWAY	hsa05167	6	186	0.000106518286627	0.00324674713833	TRAF3|HLA-C|HLA-B|NFKBIA|CD86|GNGT2	http://www.genome.jp/kegg-bin/show_pathway?hsa05167/hsa:942%09red/hsa:2793%09red/hsa:4792%09red/hsa:3106%09red/hsa:3107%09red/hsa:7187%09red
TCR signaling	Reactome	R-HSA-202403	5	117	0.000115388119394	0.00343823149963	CARD11|HLA-DRB1|NFKBIA|INPP5D|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202403
Diseases of signal transduction	Reactome	R-HSA-5663202	8	374	0.000126599410146	0.0037184055323	PPP2R1B|HDAC7|HDAC3|SMAD3|RASA2|CD86|IQGAP1|FLG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
Diseases associated with the TLR signaling cascade	Reactome	R-HSA-5602358	3	24	0.000153872953699	0.00439392767786	TRAF3|NFKBIA|TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602358
Diseases of Immune System	Reactome	R-HSA-5260271	3	24	0.000153872953699	0.00439392767786	TRAF3|NFKBIA|TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5260271
Metabolism	Reactome	R-HSA-1430728	20	2075	0.000171079132787	0.0048183383152	RPS26|PPP2R1B|ACO2|INPP5D|ORMDL3|SLC22A5|D2HGDH|HDAC3|GLB1|IQGAP1|ITPKA|PPOX|ALOX15|THEM4|GNGT2|COQ10A|PITPNM2|B4GALT3|RTEL1|SUOX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
Antigen processing and presentation	KEGG PATHWAY	hsa04612	4	77	0.000281311132573	0.00741507293039	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa04612/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:3117%09red
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	6	225	0.000289578592408	0.0075054118693	PTGER4|HLA-B|NFKBIA|IL6R|HLA-C|GNGT2	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:2793%09red/hsa:3570%09red/hsa:4792%09red/hsa:3106%09red/hsa:3107%09red/hsa:5734%09red
RUNX3 regulates BCL2L11 (BIM) transcription	Reactome	R-HSA-8952158	2	5	0.000306641340963	0.0075054118693	RUNX3|SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8952158
Human papillomavirus infection	KEGG PATHWAY	hsa05165	7	330	0.000353136070138	0.00825054272958	PPP2R1B|TRAF3|PPP2R3C|PTGER4|HLA-B|HLA-C|ITGB8	http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:5519%09red/hsa:3696%09red/hsa:55012%09red/hsa:3106%09red/hsa:3107%09red/hsa:7187%09red/hsa:5734%09red
Interferon gamma signaling	Reactome	R-HSA-877300	4	90	0.000496007463177	0.0109654983257	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
Rheumatoid arthritis	KEGG PATHWAY	hsa05323	4	91	0.000516268842367	0.0109725333163	HLA-DRB1|HLA-DQA1|TNFRSF11A|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa05323/hsa:8792%09red/hsa:3123%09red/hsa:3117%09red/hsa:942%09red
RUNX3 regulates CDKN1A transcription	Reactome	R-HSA-8941855	2	7	0.000523009856518	0.0109725333163	RUNX3|SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941855
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	4	93	0.000558546756276	0.011599718494	TRAF3|IL13|NFKBIA|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:4792%09red/hsa:3596%09red/hsa:7128%09red/hsa:7187%09red
Negative regulation of the PI3K/AKT network	Reactome	R-HSA-199418	4	96	0.000626493206475	0.0124845828698	PPP2R1B|THEM4|IL1RL1|CD86	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199418
Neutrophil degranulation	Reactome	R-HSA-6798695	8	478	0.00063151586501	0.0124845828698	FCER1G|RAB24|ORMDL3|HLA-C|HLA-B|GLB1|PA2G4|IQGAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6798695
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	4	103	0.000807501701405	0.0139514579671	PPP2R1B|NFKBIA|CD247|SMAD3	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:919%09red/hsa:4792%09red/hsa:4088%09red/hsa:5519%09red
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	4	104	0.000836067398212	0.0143246214227	TRAF3|NFKBIA|TLR1|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:4792%09red/hsa:7096%09red/hsa:942%09red/hsa:7187%09red
Metabolism of proteins	Reactome	R-HSA-392499	18	2012	0.000871616234601	0.0146888768716	RPS26|ADAMTS4|HDAC3|TARS2|RAB24|GNGT2|NFKBIA|GLB1|SMAD3|PMM1|TRAF3|TNFAIP3|ACTR1A|PIGN|B4GALT3|MARS2|FBXW2|RTF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499
Organic cation transport	Reactome	R-HSA-549127	2	10	0.000951585335547	0.015049688076	SLC22A4|SLC22A5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-549127
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	6	288	0.00102416861932	0.0160739746666	HDAC3|THEM4|IL1RL1|PPP2R1B|CAMK4|CD86	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Intestinal immune network for IgA production	KEGG PATHWAY	hsa04672	3	49	0.00108336777041	0.0168345079259	HLA-DRB1|HLA-DQA1|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa04672/hsa:3123%09red/hsa:3117%09red/hsa:942%09red
TNF signaling pathway	KEGG PATHWAY	hsa04668	4	112	0.00109079347222	0.0168345079259	TRAF3|NFKBIA|IL18R1|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:4792%09red/hsa:8809%09red/hsa:7128%09red/hsa:7187%09red
Endosomal/Vacuolar pathway	Reactome	R-HSA-1236977	2	11	0.00112175466238	0.0168345079259	HLA-C|HLA-B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236977
Organelle biogenesis and maintenance	Reactome	R-HSA-1852241	6	294	0.00113578402707	0.0169215359395	HDAC3|ARL3|IQCB1|CAMK4|CRTC3|ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1852241
Transcriptional activation of mitochondrial biogenesis	Reactome	R-HSA-2151201	3	55	0.00148725939242	0.0201894369903	HDAC3|CRTC3|CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2151201
Loss of function of MECP2 in Rett syndrome	Reactome	R-HSA-9005891	2	13	0.00150242405619	0.0201894369903	HDAC3|CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9005891
Pervasive developmental disorders	Reactome	R-HSA-9005895	2	13	0.00150242405619	0.0201894369903	HDAC3|CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9005895
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	5	212	0.00159069216299	0.0210997618523	HLA-C|HLA-B|NFKBIA|CD247|GNGT2	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:3106%09red/hsa:3107%09red/hsa:919%09red/hsa:2793%09red/hsa:4792%09red
Gene expression (Transcription)	Reactome	R-HSA-74160	14	1448	0.00164456018114	0.0216744598232	IL2RA|PPP2R1B|BCL6|HDAC7|SETD8|CAMK4|SMAD3|RUNX3|RTF1|RAD50|HDAC3|RPRD2|POLR3H|SMARCE1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Toll Like Receptor 4 (TLR4) Cascade	Reactome	R-HSA-166016	4	128	0.00175525550428	0.02255503323	TRAF3|PPP2R1B|NFKBIA|TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166016
Natural killer cell mediated cytotoxicity	KEGG PATHWAY	hsa04650	4	131	0.00190528645742	0.0236950291879	HLA-C|HLA-B|FCER1G|CD247	http://www.genome.jp/kegg-bin/show_pathway?hsa04650/hsa:3106%09red/hsa:3107%09red/hsa:919%09red/hsa:2207%09red
Organic cation/anion/zwitterion transport	Reactome	R-HSA-549132	2	15	0.00193616970018	0.0236950291879	SLC22A4|SLC22A5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-549132
RNA Polymerase II Transcription	Reactome	R-HSA-73857	13	1316	0.00200070179363	0.0243398987439	IL2RA|PPP2R1B|BCL6|HDAC7|SETD8|CAMK4|SMAD3|RUNX3|RTF1|RAD50|HDAC3|RPRD2|SMARCE1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Cytosolic sensors of pathogen-associated DNA 	Reactome	R-HSA-1834949	3	62	0.00206433591556	0.0249663214259	STAT6|NFKBIA|POLR3H	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834949
Measles	KEGG PATHWAY	hsa05162	4	138	0.00228945094252	0.027052362861	TRAF3|IL2RA|NFKBIA|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:3559%09red/hsa:4792%09red/hsa:7128%09red/hsa:7187%09red
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	Reactome	R-HSA-5676594	2	17	0.00242216228094	0.0279773351102	TRAF3|TNFRSF11A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5676594
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	5	239	0.00264590995657	0.0295150850904	IL2RA|PPP2R1B|IQGAP1|RASA2|IL6R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
Fc epsilon RI signaling pathway	KEGG PATHWAY	hsa04664	3	68	0.00265602718394	0.0295150850904	FCER1G|IL13|INPP5D	http://www.genome.jp/kegg-bin/show_pathway?hsa04664/hsa:2207%09red/hsa:3596%09red/hsa:3635%09red
Translocation of ZAP-70 to Immunological synapse	Reactome	R-HSA-202430	2	18	0.00268449460695	0.0295150850904	HLA-DRB1|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202430
Endocytosis	KEGG PATHWAY	hsa04144	5	244	0.00288631918513	0.0312046180515	HLA-C|IL2RA|SNX32|HLA-B|SMAD3	http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:3559%09red/hsa:3107%09red/hsa:254122%09red/hsa:3106%09red/hsa:4088%09red
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	5	247	0.003037930097	0.0315453751487	HDAC3|PPP2R1B|THEM4|IL1RL1|CD86	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Adherens junction	KEGG PATHWAY	hsa04520	3	72	0.00310289912769	0.0320580935002	IQGAP1|FLG|SMAD3	http://www.genome.jp/kegg-bin/show_pathway?hsa04520/hsa:8826%09red/hsa:2260%09red/hsa:4088%09red
Phagosome	KEGG PATHWAY	hsa04145	4	152	0.00321175213778	0.0328891467496	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa04145/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:3117%09red
CTLA4 inhibitory signaling	Reactome	R-HSA-389513	2	20	0.00324732334153	0.0328891467496	PPP2R1B|CD86	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389513
FLT3 Signaling	Reactome	R-HSA-9607240	5	252	0.00330327274577	0.0332270208416	IL2RA|PPP2R1B|THEM4|IQGAP1|RASA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
Leishmaniasis	KEGG PATHWAY	hsa05140	3	74	0.00334257462423	0.0332270208416	HLA-DRB1|NFKBIA|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa05140/hsa:3123%09red/hsa:4792%09red/hsa:3117%09red
Toll-like Receptor Cascades	Reactome	R-HSA-168898	4	154	0.00336137217687	0.0332270208416	TRAF3|PPP2R1B|NFKBIA|TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168898
Herpes simplex virus 1 infection	KEGG PATHWAY	hsa05168	7	492	0.00336148848982	0.0332270208416	HLA-DRB1|TRAF3|HLA-C|HLA-B|NFKBIA|TNFRSF14|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa05168/hsa:8764%09red/hsa:4792%09red/hsa:3117%09red/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:7187%09red
Mitochondrial tRNA aminoacylation	Reactome	R-HSA-379726	2	21	0.00354761830358	0.0344052039253	TARS2|MARS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-379726
Interleukin-37 signaling	Reactome	R-HSA-9008059	2	21	0.00354761830358	0.0344052039253	IL18R1|SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9008059
Phosphorylation of CD3 and TCR zeta chains	Reactome	R-HSA-202427	2	21	0.00354761830358	0.0344052039253	HLA-DRB1|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202427
Post-translational protein modification	Reactome	R-HSA-597592	13	1412	0.00362955740929	0.034870888007	ADAMTS4|TRAF3|RAB24|NFKBIA|GLB1|SMAD3|TNFAIP3|ACTR1A|PIGN|B4GALT3|PMM1|FBXW2|RTF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
Cellular senescence	KEGG PATHWAY	hsa04218	4	160	0.00383857152391	0.035591545039	HLA-C|HLA-B|SMAD3|RAD50	http://www.genome.jp/kegg-bin/show_pathway?hsa04218/hsa:3106%09red/hsa:3107%09red/hsa:4088%09red/hsa:10111%09red
@@Cellular Senescence	Reactome	R-HSA-2559583	1	194	0.530309620336	0.543256890588	RAD50	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559583
DDX58/IFIH1-mediated induction of interferon-alpha/beta	Reactome	R-HSA-168928	3	78	0.0038552072038	0.035591545039	TRAF3|NFKBIA|TNFAIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168928
PD-1 signaling	Reactome	R-HSA-389948	2	22	0.00386036699596	0.035591545039	HLA-DRB1|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389948
