##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
FOXO-mediated transcription of cell cycle genes	Reactome	R-HSA-9617828	1	17	0.0163725718206	0.0587387112741	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9617828
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	Reactome	R-HSA-5676594	1	17	0.0163725718206	0.0587387112741	DTL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5676594
Zinc transporters	Reactome	R-HSA-435354	1	17	0.0163725718206	0.0587387112741	SLC30A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-435354
Metabolism of Angiotensinogen to Angiotensins	Reactome	R-HSA-2022377	1	18	0.0172744766501	0.0610306383171	CTSZ	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022377
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	2	219	0.0175083420543	0.0612352063808	CDKN1A|CDC20	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:1026%09red/hsa:991%09red
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	Reactome	R-HSA-176407	1	19	0.0181755774586	0.0629363279162	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176407
Inactivation of APC/C via direct inhibition of the APC/C complex	Reactome	R-HSA-141430	1	20	0.0190758749423	0.0634425661644	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141430
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	Reactome	R-HSA-141405	1	20	0.0190758749423	0.0634425661644	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141405
Sema4D induced cell migration and growth-cone collapse	Reactome	R-HSA-416572	1	20	0.0190758749423	0.0634425661644	RND1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416572
RAF-independent MAPK1/3 activation	Reactome	R-HSA-112409	1	22	0.0208740627179	0.0634425661644	DUSP5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112409
APC/C:Cdc20 mediated degradation of Cyclin B	Reactome	R-HSA-174048	1	23	0.0217719543994	0.0639378914009	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174048
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	2	247	0.0218852211575	0.0640004786789	CDKN1A|NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
SLC-mediated transmembrane transport	Reactome	R-HSA-425407	2	249	0.022213605526	0.0643133877014	SLC30A1|SLC43A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-425407
Sema4D in semaphorin signaling	Reactome	R-HSA-400685	1	24	0.0226690455356	0.0643985946644	RND1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400685
HSF1-dependent transactivation	Reactome	R-HSA-3371571	1	24	0.0226690455356	0.0643985946644	HSPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371571
APC-Cdc20 mediated degradation of Nek2A	Reactome	R-HSA-179409	1	25	0.0235653368198	0.0658693752071	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179409
Metal ion SLC transporters	Reactome	R-HSA-425410	1	26	0.0244608289448	0.0678276372334	SLC30A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-425410
TNFs bind their physiological receptors	Reactome	R-HSA-5669034	1	29	0.0271425172838	0.069709195681	DTL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5669034
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	2	288	0.029018042159	0.071365927006	CDKN1A|NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Cell Cycle Checkpoints	Reactome	R-HSA-69620	2	289	0.0292022650012	0.0715608913797	CDKN1A|CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69620
Amino acid transport across the plasma membrane	Reactome	R-HSA-352230	1	32	0.0298170380749	0.0715608913797	SLC43A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-352230
Cargo concentration in the ER	Reactome	R-HSA-5694530	1	33	0.0307069554349	0.0729421193949	CTSZ	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5694530
Activation of Matrix Metalloproteinases	Reactome	R-HSA-1592389	1	33	0.0307069554349	0.0729421193949	MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1592389
MicroRNAs in cancer	KEGG PATHWAY	hsa05206	2	299	0.0310704062372	0.0735544310921	CDKN1A|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:1026%09red/hsa:4318%09red
Lysosome Vesicle Biogenesis	Reactome	R-HSA-432720	1	35	0.0324844099293	0.0751274438154	CTSZ	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432720
Thyroid cancer	KEGG PATHWAY	hsa05216	1	37	0.0342586953703	0.078177219599	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05216/hsa:1026%09red
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	Reactome	R-HSA-8864260	1	38	0.0351446514114	0.0796764735581	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8864260
Negative regulation of MAPK pathway	Reactome	R-HSA-5675221	1	40	0.0369141935613	0.0806546666594	DUSP5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675221
Signaling by SCF-KIT	Reactome	R-HSA-1433557	1	40	0.0369141935613	0.0806546666594	MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433557
Neuroactive ligand-receptor interaction	KEGG PATHWAY	hsa04080	2	338	0.0387911553252	0.0820627480437	PTGDR|GALR2	http://www.genome.jp/kegg-bin/show_pathway?hsa04080/hsa:5729%09red/hsa:8811%09red
G1 Phase	Reactome	R-HSA-69236	1	43	0.0395625922168	0.0824418089309	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69236
Cyclin D associated events in G1	Reactome	R-HSA-69231	1	43	0.0395625922168	0.0824418089309	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69231
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	2	354	0.0421500673851	0.0848957260248	CDKN1A|NR4A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3164%09red/hsa:1026%09red
Interleukin-10 signaling	Reactome	R-HSA-6783783	1	47	0.043082778567	0.0859186644201	CCL20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783783
TP53 Regulates Transcription of Cell Cycle Genes	Reactome	R-HSA-6791312	1	48	0.043960863293	0.0859459574492	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791312
Chemokine receptors bind chemokines	Reactome	R-HSA-380108	1	48	0.043960863293	0.0859459574492	CCL20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380108
G alpha (z) signalling events	Reactome	R-HSA-418597	1	48	0.043960863293	0.0859459574492	RGS16	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418597
Intestinal immune network for IgA production	KEGG PATHWAY	hsa04672	1	49	0.0448381646343	0.0871714038701	DTL	http://www.genome.jp/kegg-bin/show_pathway?hsa04672/hsa:10673%09red
EPH-ephrin mediated repulsion of cells	Reactome	R-HSA-3928665	1	50	0.0457146832699	0.0881368962766	MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3928665
Diseases of signal transduction	Reactome	R-HSA-5663202	2	374	0.0464971738232	0.0893303918323	CDKN1A|NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
SCF-beta-TrCP mediated degradation of Emi1	Reactome	R-HSA-174113	1	54	0.0492129443135	0.0925735384924	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174113
Legionellosis	KEGG PATHWAY	hsa05134	1	55	0.0500855595845	0.0929587985888	HSPA2	http://www.genome.jp/kegg-bin/show_pathway?hsa05134/hsa:3306%09red
HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	1	55	0.0500855595845	0.0929587985888	HSPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371497
Endometrial cancer	KEGG PATHWAY	hsa05213	1	58	0.0526987362324	0.0967765710231	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05213/hsa:1026%09red
SCF(Skp2)-mediated degradation of p27/p21	Reactome	R-HSA-187577	1	59	0.0535682409746	0.0978569441427	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187577
Assembly of collagen fibrils and other multimeric structures	Reactome	R-HSA-2022090	1	60	0.0544369697693	0.0981557796876	MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022090
Longevity regulating pathway - multiple species	KEGG PATHWAY	hsa04213	1	62	0.0561721022058	0.0992278759778	HSPA2	http://www.genome.jp/kegg-bin/show_pathway?hsa04213/hsa:3306%09red
Basal cell carcinoma	KEGG PATHWAY	hsa05217	1	63	0.0570385071914	0.099996979862	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05217/hsa:1026%09red
Cellular responses to stress	Reactome	R-HSA-2262752	2	422	0.0575635602951	0.100003177881	HSPA2|CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
Collagen degradation	Reactome	R-HSA-1442490	1	64	0.0579041389168	0.100003177881	MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1442490
p53-Dependent G1/S DNA damage checkpoint	Reactome	R-HSA-69580	1	64	0.0579041389168	0.100003177881	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69580
p53-Dependent G1 DNA Damage Response	Reactome	R-HSA-69563	1	64	0.0579041389168	0.100003177881	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69563
Semaphorin interactions	Reactome	R-HSA-373755	1	64	0.0579041389168	0.100003177881	RND1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373755
Cortisol synthesis and secretion	KEGG PATHWAY	hsa04927	1	65	0.0587689980523	0.100739386763	NR4A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04927/hsa:3164%09red
FOXO-mediated transcription	Reactome	R-HSA-9614085	1	65	0.0587689980523	0.100739386763	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614085
Non-small cell lung cancer	KEGG PATHWAY	hsa05223	1	66	0.0596330852678	0.100739386763	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05223/hsa:1026%09red
G1/S DNA Damage Checkpoints	Reactome	R-HSA-69615	1	66	0.0596330852678	0.100739386763	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69615
APC/C:Cdc20 mediated degradation of Securin	Reactome	R-HSA-174154	1	66	0.0596330852678	0.100739386763	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174154
Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	1	66	0.0596330852678	0.100739386763	HSPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371453
COPII-mediated vesicle transport	Reactome	R-HSA-204005	1	68	0.0613589466156	0.101923214426	CTSZ	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-204005
Renal cell carcinoma	KEGG PATHWAY	hsa05211	1	69	0.0622207220848	0.103108625169	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05211/hsa:1026%09red
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	Reactome	R-HSA-174184	1	71	0.0639419659517	0.10464454579	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174184
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	Reactome	R-HSA-174178	1	71	0.0639419659517	0.10464454579	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174178
p53 signaling pathway	KEGG PATHWAY	hsa04115	1	72	0.0648014356831	0.10464454579	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:1026%09red
Melanoma	KEGG PATHWAY	hsa05218	1	72	0.0648014356831	0.10464454579	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05218/hsa:1026%09red
Interleukin-17 signaling	Reactome	R-HSA-448424	1	72	0.0648014356831	0.10464454579	IL17RB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448424
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	Reactome	R-HSA-179419	1	72	0.0648014356831	0.10464454579	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179419
trans-Golgi Network Vesicle Budding	Reactome	R-HSA-199992	1	72	0.0648014356831	0.10464454579	CTSZ	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199992
Platinum drug resistance	KEGG PATHWAY	hsa01524	1	73	0.0656601381677	0.104815266433	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa01524/hsa:1026%09red
APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome	R-HSA-176409	1	74	0.066518074071	0.105459178937	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176409
Pancreatic cancer	KEGG PATHWAY	hsa05212	1	75	0.0673752440579	0.105615247442	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:1026%09red
Glioma	KEGG PATHWAY	hsa05214	1	75	0.0673752440579	0.105615247442	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:1026%09red
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome	R-HSA-176814	1	75	0.0673752440579	0.105615247442	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176814
Chronic myeloid leukemia	KEGG PATHWAY	hsa05220	1	76	0.0682316487924	0.106239882684	CDKN1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05220/hsa:1026%09red
Extra-nuclear estrogen signaling	Reactome	R-HSA-9009391	1	76	0.0682316487924	0.106239882684	MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9009391
The role of GTSE1 in G2/M progression after G2 checkpoint	Reactome	R-HSA-8852276	1	76	0.0682316487924	0.106239882684	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8852276
Antigen processing and presentation	KEGG PATHWAY	hsa04612	1	77	0.0690872889384	0.10661807783	HSPA2	http://www.genome.jp/kegg-bin/show_pathway?hsa04612/hsa:3306%09red
