##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
M Phase	Reactome	R-HSA-68886	7	384	0.000100770059643	0.00410756870159	BANF1|PPP2CA|PSMD4|HAUS3|PSMD12|RAB1A|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68886
Cyclin A:Cdk2-associated events at S phase entry	Reactome	R-HSA-69656	4	84	0.000101064959266	0.00410756870159	PSMD4|PSMD12|CDK4|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69656
Disease	Reactome	R-HSA-1643685	11	1049	0.000151286399784	0.00549459328576	RAC2|PPP2CA|PSMD4|PSMD12|GTF2B|BANF1|CDK4|CCNT1|RANBP2|CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Cell Cycle Checkpoints	Reactome	R-HSA-69620	6	289	0.000161706434138	0.00575068506405	PPP2CA|PSMD4|BACH1|PSMD12|DBF4|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69620
G2/M Transition	Reactome	R-HSA-69275	5	193	0.000215073878624	0.00654755653619	PPP2CA|PSMD4|CCNH|HAUS3|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69275
Mitotic Anaphase	Reactome	R-HSA-68882	5	194	0.000220144402399	0.00654755653619	PPP2CA|PSMD4|BANF1|PSMD12|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68882
Mitotic Metaphase and Anaphase	Reactome	R-HSA-2555396	5	195	0.00022530545606	0.00654755653619	PPP2CA|PSMD4|BANF1|PSMD12|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2555396
Mitotic G2-G2/M phases	Reactome	R-HSA-453274	5	195	0.00022530545606	0.00654755653619	PPP2CA|PSMD4|CCNH|HAUS3|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453274
Antigen processing: Ubiquitination & Proteasome degradation	Reactome	R-HSA-983168	6	308	0.000226306875006	0.00654755653619	RCHY1|PSMD4|UBE2B|KBTBD8|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983168
G1 Phase	Reactome	R-HSA-69236	3	43	0.000272488913063	0.00750223507417	PPP2CA|CCNH|CDK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69236
Cyclin D associated events in G1	Reactome	R-HSA-69231	3	43	0.000272488913063	0.00750223507417	PPP2CA|CCNH|CDK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69231
Signaling by Interleukins	Reactome	R-HSA-449147	8	619	0.000325077270133	0.00867042031432	STAT6|PELI1|PPP2CA|PSMD4|HIF1A|PSMD12|PTPN6|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Signal Transduction	Reactome	R-HSA-162582	18	2689	0.000358138136566	0.00940525844797	CHD1|STAT6|RAC2|CD55|PPP2CA|PSMD4|HIF1A|PSMD12|ARHGAP30|RANBP2|CDK4|TRADD|RGS2|USP15|CCNT1|GNA13|PTPN6|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Sphingolipid signaling pathway	KEGG PATHWAY	hsa04071	4	119	0.00036582097571	0.00946146068996	PPP2CA|RAC2|GNA13|TRADD	http://www.genome.jp/kegg-bin/show_pathway?hsa04071/hsa:5880%09red/hsa:5515%09red/hsa:8717%09red/hsa:10672%09red
Ubiquitin-dependent degradation of Cyclin D	Reactome	R-HSA-75815	3	51	0.000438269439574	0.0108424048312	PSMD4|CDK4|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75815
Generic Transcription Pathway	Reactome	R-HSA-212436	11	1193	0.00044705739375	0.0109018138733	JMY|PPP2CA|PSMD4|BACH1|STRAP|ELF1|CDK4|CCNT1|CEBPZ|PSMD12|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
Initiation of Nuclear Envelope Reformation	Reactome	R-HSA-2995383	2	10	0.000474905720056	0.0111049871799	PPP2CA|BANF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2995383
Nuclear Envelope Reassembly	Reactome	R-HSA-2995410	2	10	0.000474905720056	0.0111049871799	PPP2CA|BANF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2995410
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	6	359	0.000502888030829	0.0112951298503	JMY|PPP2CA|BACH1|STRAP|CCNT1|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	9	836	0.000512231318806	0.011355569626	STAT6|PELI1|PPP2CA|PSMD4|HIF1A|PSMD12|RANBP2|PTPN6|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Mitotic Prophase	Reactome	R-HSA-68875	4	134	0.000564900635511	0.0118402258377	PPP2CA|RAB1A|BANF1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68875
Degradation of DVL	Reactome	R-HSA-4641258	3	56	0.000568774761975	0.0118402258377	PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641258
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	6	370	0.000587426635169	0.0120811718823	RCHY1|PSMD4|UBE2B|KBTBD8|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169
Interleukin-1 family signaling	Reactome	R-HSA-446652	4	138	0.000628843521484	0.0127789987044	PSMD4|PELI1|PTPN6|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446652
SCF(Skp2)-mediated degradation of p27/p21	Reactome	R-HSA-187577	3	59	0.000657793801164	0.0130564420766	PSMD4|CDK4|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187577
HATs acetylate histones	Reactome	R-HSA-3214847	4	142	0.000697758788858	0.0135349346884	ING4|MORF4L1|MSL2|ING3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214847
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	R-HSA-1234176	3	65	0.000861411076196	0.015982920729	PSMD4|HIF1A|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234176
Regulation of RAS by GAPs	Reactome	R-HSA-5658442	3	67	0.000937191300016	0.0172019951519	PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5658442
Chromatin organization	Reactome	R-HSA-4839726	5	273	0.0010034899869	0.0174791572207	ING4|CDK4|MORF4L1|MSL2|ING3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726
Chromatin modifying enzymes	Reactome	R-HSA-3247509	5	273	0.0010034899869	0.0174791572207	ING4|CDK4|MORF4L1|MSL2|ING3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3247509
Regulation of TP53 Activity	Reactome	R-HSA-5633007	4	159	0.00105104008157	0.0180698394297	PPP2CA|BACH1|JMY|STRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633007
S Phase	Reactome	R-HSA-69242	4	160	0.00107508514031	0.0181700033119	PSMD4|PSMD12|CDK4|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69242
Cellular responses to stress	Reactome	R-HSA-2262752	6	422	0.00114665308313	0.0188205462779	PSMD4|HIF1A|PSMD12|CDK4|DCTN4|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
RNA transport	KEGG PATHWAY	hsa03013	4	165	0.00120113176787	0.019168790614	EIF1|RANBP2|DDX20|EIF3A	http://www.genome.jp/kegg-bin/show_pathway?hsa03013/hsa:11218%09red/hsa:5903%09red/hsa:10209%09red/hsa:8661%09red
Platelet sensitization by LDL	Reactome	R-HSA-432142	2	17	0.00121523711685	0.019168790614	PPP2CA|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432142
Cellular response to hypoxia	Reactome	R-HSA-1234174	3	74	0.00123524719833	0.019168790614	PSMD4|HIF1A|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234174
G2/M Checkpoints	Reactome	R-HSA-69481	4	167	0.00125432892409	0.0192895448056	PSMD4|BACH1|DBF4|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69481
Tight junction	KEGG PATHWAY	hsa04530	4	170	0.00133718440555	0.0203611830094	PPP2CA|RAP2C|SLC9A3R1|CDK4	http://www.genome.jp/kegg-bin/show_pathway?hsa04530/hsa:9368%09red/hsa:5515%09red/hsa:57826%09red/hsa:1019%09red
Apoptosis	Reactome	R-HSA-109581	4	172	0.00139449978853	0.0208807994651	PSMD4|DFFA|TRADD|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109581
@@Apoptosis	KEGG PATHWAY	hsa04210	3	136	0.00654969854618	0.0543585408209	CEBPZ|DFFA|TRADD	http://www.genome.jp/kegg-bin/show_pathway?hsa04210/hsa:1676%09red/hsa:8717%09red/hsa:1649%09red
Programmed Cell Death	Reactome	R-HSA-5357801	4	175	0.00148365644963	0.0210268536784	PSMD4|DFFA|TRADD|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357801
Regulation of TP53 Activity through Methylation	Reactome	R-HSA-6804760	2	19	0.00148711034961	0.0210268536784	JMY|STRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804760
Degradation of beta-catenin by the destruction complex	Reactome	R-HSA-195253	3	81	0.0015870133419	0.0222051784805	PPP2CA|PSMD4|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195253
Hemostasis	Reactome	R-HSA-109582	7	617	0.00162124927809	0.0224210232816	CDC37L1|RAC2|PPP2CA|SELPLG|GNA13|JMJD1C|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
Major pathway of rRNA processing in the nucleolus and cytosol	Reactome	R-HSA-6791226	4	183	0.00174071156282	0.0228690075708	RIOK3|DDX21|NOP58|UTP15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791226
RNA Polymerase II Pre-transcription Events	Reactome	R-HSA-674695	3	84	0.00175503221545	0.0228690075708	CCNT1|GTF2B|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-674695
DNA Replication Pre-Initiation	Reactome	R-HSA-69002	3	84	0.00175503221545	0.0228690075708	PSMD4|DBF4|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69002
Hedgehog 'on' state	Reactome	R-HSA-5632684	3	84	0.00175503221545	0.0228690075708	PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5632684
Separation of Sister Chromatids	Reactome	R-HSA-2467813	4	186	0.00184459840136	0.0234979811278	PPP2CA|PSMD4|PSMD12|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2467813
rRNA processing in the nucleus and cytosol	Reactome	R-HSA-8868773	4	193	0.00210357472025	0.0259050096471	RIOK3|DDX21|NOP58|UTP15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8868773
PCP/CE pathway	Reactome	R-HSA-4086400	3	91	0.00218914870595	0.0266919774361	PSMD4|RAC2|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4086400
Signaling by WNT	Reactome	R-HSA-195721	5	329	0.00224277684753	0.027151915452	PPP2CA|PSMD4|PSMD12|RAC2|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721
DNA Repair	Reactome	R-HSA-73894	5	331	0.00230132583478	0.0276645295773	RCHY1|COPS6|BACH1|UBE2B|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	4	201	0.00242912009184	0.0287536155059	PSMD4|CDK4|TRADD|PSMD12	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:5710%09red/hsa:1019%09red/hsa:8717%09red/hsa:5718%09red
Cyclin A/B1/B2 associated events during G2/M transition	Reactome	R-HSA-69273	2	25	0.00245930161914	0.0287536155059	PPP2CA|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69273
rRNA processing	Reactome	R-HSA-72312	4	203	0.00251561629881	0.0292119525311	RIOK3|DDX21|NOP58|UTP15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72312
Choline metabolism in cancer	KEGG PATHWAY	hsa05231	3	99	0.00276044671483	0.0318383955555	RAC2|HIF1A|GPCPD1	http://www.genome.jp/kegg-bin/show_pathway?hsa05231/hsa:56261%09red/hsa:3091%09red/hsa:5880%09red
RNA Pol II CTD phosphorylation and interaction with CE	Reactome	R-HSA-77075	2	27	0.0028346030318	0.0320441548031	CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77075
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	Reactome	R-HSA-167160	2	27	0.0028346030318	0.0320441548031	CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167160
UCH proteinases	Reactome	R-HSA-5689603	3	101	0.00291625087388	0.0323249366345	PSMD4|PSMD12|USP15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689603
Interleukin-1 signaling	Reactome	R-HSA-9020702	3	101	0.00291625087388	0.0323249366345	PSMD4|PELI1|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020702
COPI-mediated anterograde transport	Reactome	R-HSA-6807878	3	101	0.00291625087388	0.0323249366345	RAB1A|DCTN4|CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807878
Cellular responses to external stimuli	Reactome	R-HSA-8953897	6	516	0.00309656085385	0.0341021250163	PSMD4|HIF1A|PSMD12|CDK4|DCTN4|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
mRNA Capping	Reactome	R-HSA-72086	2	29	0.00323505254972	0.0350459518957	CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72086
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	hsa03008	3	105	0.00324385494993	0.0350459518957	SBDS|NOP58|UTP15	http://www.genome.jp/kegg-bin/show_pathway?hsa03008/hsa:84135%09red/hsa:51602%09red/hsa:51119%09red
Ub-specific processing proteases	Reactome	R-HSA-5689880	4	219	0.0032850931439	0.0352682641298	PSMD4|PSMD12|HIF1A|USP15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689880
Vpr-mediated nuclear import of PICs	Reactome	R-HSA-180910	2	30	0.00344462056026	0.0365215360022	BANF1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180910
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	4	225	0.00361080209431	0.0378137372699	RAC2|CDK4|GNA13|TRADD	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:5880%09red/hsa:1019%09red/hsa:8717%09red/hsa:10672%09red
Signaling by the B Cell Receptor (BCR)	Reactome	R-HSA-983705	3	110	0.00368393658509	0.037882408137	PSMD4|PTPN6|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983705
TCF dependent signaling in response to WNT	Reactome	R-HSA-201681	4	232	0.00401774258357	0.0405815774566	PPP2CA|PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201681
Interactions of Vpr with host cellular proteins	Reactome	R-HSA-176033	2	33	0.00411028197835	0.0407921589363	BANF1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176033
RAF/MAP kinase cascade	Reactome	R-HSA-5673001	4	234	0.00413947479988	0.0408444131989	PPP2CA|PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673001
Transcriptional regulation by RUNX1	Reactome	R-HSA-8878171	4	235	0.00420126613519	0.0412158694987	ELF1|PSMD4|CCNH|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878171
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	4	239	0.00445466724047	0.0427776236692	PPP2CA|PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
Transcriptional regulation by RUNX2	Reactome	R-HSA-8878166	3	118	0.00446070123792	0.0427776236692	PSMD4|CDK4|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878166
GPVI-mediated activation cascade	Reactome	R-HSA-114604	2	35	0.00458451051129	0.0434764413487	RAC2|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114604
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	4	247	0.00499199615005	0.0460943358577	PPP2CA|PSMD4|RAC2|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
DNA Replication	Reactome	R-HSA-69306	3	126	0.00532962275419	0.0478050674116	PSMD4|DBF4|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69306
FLT3 Signaling	Reactome	R-HSA-9607240	4	252	0.00534901457272	0.0478050674116	PPP2CA|PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Reactome	R-HSA-8939236	3	129	0.00567982147288	0.0494666084399	PSMD4|CCNH|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939236
Natural killer cell mediated cytotoxicity	KEGG PATHWAY	hsa04650	3	131	0.00592078136875	0.0507878080224	RAC2|ICAM2|PTPN6	http://www.genome.jp/kegg-bin/show_pathway?hsa04650/hsa:3384%09red/hsa:5777%09red/hsa:5880%09red
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	4	260	0.00595514683069	0.0508271782	CDC37L1|RAC2|PTPN6|GNA13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
Ubiquitin mediated proteolysis	KEGG PATHWAY	hsa04120	3	137	0.00668006573255	0.0543585408209	RCHY1|UBE2B|CUL3	http://www.genome.jp/kegg-bin/show_pathway?hsa04120/hsa:25898%09red/hsa:7320%09red/hsa:8452%09red
SUMOylation of RNA binding proteins	Reactome	R-HSA-4570464	2	43	0.00671918694388	0.0543585408209	NOP58|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4570464
Measles	KEGG PATHWAY	hsa05162	3	138	0.0068119715121	0.0545917153575	RCHY1|CDK4|TRADD	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:25898%09red/hsa:1019%09red/hsa:8717%09red
Rho GTPase cycle	Reactome	R-HSA-194840	3	138	0.0068119715121	0.0545917153575	ARHGAP30|RAC2|GNA13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194840
C-type lectin receptors (CLRs)	Reactome	R-HSA-5621481	3	140	0.00708041651146	0.0556971013137	PSMD4|ICAM2|PSMD12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5621481
Other interleukin signaling	Reactome	R-HSA-449836	4	275	0.00721170725559	0.0564696526848	PPP2CA|PSMD4|PSMD12|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836
Basal transcription factors	KEGG PATHWAY	hsa03022	2	45	0.00731096201205	0.0567264188844	GTF2B|CCNH	http://www.genome.jp/kegg-bin/show_pathway?hsa03022/hsa:902%09red/hsa:2959%09red
