Target.id	Gene.symbol	Chromosome	Gene.name	Protein.name	Ensembl.id	UniProt.id	P_value	FDR.BH.	FDR.Bonferroni.	Relationship	Value	herb
SMTT00154	ALDH3A1	None	aldehyde dehydrogenase 3 family member A1	Aldehyde Dehydrogenase, Dimeric NADP-preferring	ENSG00000108602	P30838	0.00318448	0.0302883	1	By_ingredient	0.3979	乌梅
SMTT00155	ALDH3A2	17	Aldehyde Dehydrogenase 3 Family Member A2	Fatty Aldehyde Dehydrogenase	ENSG00000072210	P51648	0.00243171	0.0261241	1	By_ingredient	0.3837	乌梅
SMTT00156	ALDH4A1	1	Aldehyde Dehydrogenase 4 Family Member A1	Delta-1-pyrroline-5-carboxylate Dehydrogenase, Mitochondrial	ENSG00000159423	P30038	4.0016e-05	0.00169162	1	By_ingredient	0.6405	乌梅
SMTT00157	ALDH5A1	6	Aldehyde Dehydrogenase 5 Family Member A1	Succinate-semialdehyde Dehydrogenase, Mitochondrial	ENSG00000112294	P51649	0.0014851	0.0199247	1	By_ingredient	0.4419	乌梅
SMTT00159	ALDH7A1	5	Aldehyde Dehydrogenase 7 Family Member A1	Alpha-aminoadipic Semialdehyde Dehydrogenase	ENSG00000164904	P49419	0.00209157	0.0241243	1	By_ingredient	0.4404	乌梅
SMTT00175	ALOX5	None	arachidonate 5-lipoxygenase	Arachidonate 5-lipoxygenase	ENSG00000012779	P09917	3.0784e-05	0.000638542	1	By_ingredient	0.5962	乌梅
SMTT00177	ALPL	1	Alkaline Phosphatase, Liver/bone/kidney	Alkaline Phosphatase, Tissue-nonspecific Isozyme	ENSG00000162551	P05186	0.00177595	0.0223639	1	By_ingredient	0.3802	乌梅
SMTT00184	AMD1	None	adenosylmethionine decarboxylase 1	S-adenosylmethionine Decarboxylase Proenzyme	ENSG00000123505	P17707	0.0466867	0.0880778	1	By_ingredient	0.1763	乌梅
SMTT00187	AMH	19	Anti-Mullerian Hormone	None	ENSG00000104899	None	0.0105671	0.0485443	1	By_ingredient	0.2004	乌梅
SMTT00191	AMPD1	1	Adenosine Monophosphate Deaminase 1	None	ENSG00000116748	None	0.041608	0.0831951	1	By_ingredient	0.2036	乌梅
SMTT00193	AMT	3	Aminomethyltransferase	Aminomethyltransferase, Mitochondrial	ENSG00000145020	P48728	0.0158091	0.0563531	1	By_ingredient	0.1872	乌梅
SMTT00194	AMY2A	None	amylase, alpha 2A (pancreatic)	Pancreatic Alpha-amylase	ENSG00000243480	P04746	0.0247688	0.0639691	1	By_ingredient	0.5538	乌梅
SMTT00195	ANG	14	Angiogenin	Angiogenin	ENSG00000214274	P03950	0.03137	0.0732233	1	By_ingredient	0.2011	乌梅
SMTT00214	ANTXR2	4	Anthrax Toxin Receptor 2	Anthrax Toxin Receptor 2	ENSG00000163297	P58335	0.0105671	0.0485443	1	By_ingredient	0.1577	乌梅
SMTT00238	APP	21	Amyloid Beta Precursor Protein	Amyloid Beta A4 Protein	ENSG00000142192	P05067	0.0299949	0.0718632	1	By_ingredient	0.3347	乌梅
SMTT00239	APRT	16	Adenine Phosphoribosyltransferase	Adenine Phosphoribosyltransferase	ENSG00000198931	P07741	0.000574983	0.0109802	1	By_ingredient	0.4103	乌梅
SMTT00244	AR	X	Androgen Receptor	Androgen Receptor	ENSG00000169083	P10275	0.104043	0.129111	1	By_ingredient	3.9001	乌梅
SMTT00246	ARG1	6	Arginase 1	Arginase-1	ENSG00000118520	P05089	0.00712425	0.0416346	1	By_ingredient	0.3558	乌梅
SMTT00272	ASL	7	Argininosuccinate Lyase	Argininosuccinate Lyase	ENSG00000126522	P04424	0.0158091	0.0563531	1	By_ingredient	0.1858	乌梅
SMTT00282	ATF2	None	activating transcription factor 2	Cyclic AMP-dependent Transcription Factor ATF-2	ENSG00000115966	P15336	0.012186	0.0295348	1	By_ingredient	0.1385	乌梅
SMTT00287	ATM	11	ATM Serine/threonine Kinase	Serine-protein Kinase ATM	ENSG00000149311	Q13315	0.0027961	0.0282141	1	By_ingredient	0.3405	乌梅
SMTT00295	ATP2C1	3	ATPase Secretory Pathway Ca2+ Transporting 1	Calcium-transporting ATPase Type 2C Member 1	ENSG00000017260	P98194	0.0202294	0.039534	1	By_ingredient	0.2116	乌梅
SMTT00302	ATP6V1B1	2	ATPase H+ Transporting V1 Subunit B1	None	ENSG00000116039	None	0.0105671	0.0485443	1	By_ingredient	0.2309	乌梅
SMTT00303	ATP6V1B2	8	ATPase H+ Transporting V1 Subunit B2	V-type Proton ATPase Subunit B, Brain Isoform	ENSG00000147416	P21281	0.0105671	0.0485443	1	By_ingredient	0.1781	乌梅
SMTT00304	ATP7A	X	ATPase Copper Transporting Alpha	None	ENSG00000165240	None	0.0158091	0.0563531	1	By_ingredient	0.1824	乌梅
SMTT00305	ATP7B	13	ATPase Copper Transporting Beta	None	ENSG00000123191	None	0.0210234	0.0627405	1	By_ingredient	0.1741	乌梅
SMTT00326	AXIN1	16	Axin 1	Axin-1	ENSG00000103126	O15169	0.03137	0.0732233	1	By_ingredient	0.1942	乌梅
SMTT00327	AXIN2	17	Axin 2	None	ENSG00000168646	None	0.0262104	0.0680322	1	By_ingredient	0.1775	乌梅
SMTT00329	B2M	15	Beta-2-microglobulin	Beta-2-microglobulin	ENSG00000166710	P61769	0.0147868	0.0549094	1	By_ingredient	0.3438	乌梅
SMTT00332	B3GAT3	11	Beta-1,3-glucuronyltransferase 3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	ENSG00000149541	O94766	0.0158091	0.0563531	1	By_ingredient	0.2142	乌梅
SMTT00356	BCHE	None	butyrylcholinesterase	Cholinesterase	ENSG00000114200	P06276	0.00177111	0.0108258	1	By_ingredient	1.1745	乌梅
SMTT00361	BCL2	18	BCL2, Apoptosis Regulator	Apoptosis Regulator Bcl-2	ENSG00000171791	P10415	2.15123e-07	2.6049e-05	0.0889573	By_ingredient	1.7635	乌梅
SMTT00362	BCL2L1	None	BCL2 like 1	Bcl-2-like Protein 1	ENSG00000171552	Q07817	0.00193832	0.0114304	1	By_ingredient	0.4257	乌梅
SMTT00375	BGN	X	Biglycan	None	ENSG00000182492	None	0.0466867	0.0880778	1	By_ingredient	0.1831	乌梅
SMTT00380	BIRC5	None	baculoviral IAP repeat containing 5	Baculoviral IAP Repeat-containing Protein 5	ENSG00000089685	O15392	0.000541859	0.00467625	1	By_ingredient	0.3913	乌梅
SMTT00388	BMP15	X	Bone Morphogenetic Protein 15	None	ENSG00000130385	None	0.0052975	0.0372111	1	By_ingredient	0.2234	乌梅
SMTT00389	BMP2	20	Bone Morphogenetic Protein 2	None	ENSG00000125845	None	0.00449095	0.0295348	1	By_ingredient	0.3454	乌梅
SMTT00397	BPGM	7	Bisphosphoglycerate Mutase	None	ENSG00000172331	None	0.0210234	0.0627405	1	By_ingredient	0.2142	乌梅
SMTT00399	BRAF	7	B-Raf Proto-oncogene, Serine/threonine Kinase	Serine/threonine-protein Kinase B-raf	ENSG00000157764	P15056	0.0158091	0.0563531	1	By_ingredient	0.1449	乌梅
SMTT00404	BRIP1	17	BRCA1 Interacting Protein C-terminal Helicase 1	None	ENSG00000136492	None	0.0158091	0.0563531	1	By_ingredient	0.1969	乌梅
SMTT00412	BUB1	2	BUB1 Mitotic Checkpoint Serine/threonine Kinase	None	ENSG00000169679	None	0.000763981	0.0133142	1	By_ingredient	0.3384	乌梅
SMTT00436	CA2	8	Carbonic Anhydrase 2	Carbonic Anhydrase 2	ENSG00000104267	P00918	2.07063e-06	0.000167218	0.856244	By_ingredient	5.4893	乌梅
SMTT00443	CACNA1A	19	Calcium Voltage-gated Channel Subunit Alpha1 A	Voltage-dependent P/Q-type Calcium Channel Subunit Alpha-1A	ENSG00000141837	O00555	0.0105671	0.0485443	1	By_ingredient	0.178	乌梅
SMTT00444	CACNA1B	9	Calcium Voltage-gated Channel Subunit Alpha1 B	Voltage-dependent N-type Calcium Channel Subunit Alpha-1B	ENSG00000148408	Q00975	0.0158091	0.0563531	1	By_ingredient	0.2003	乌梅
SMTT00445	CACNA1C	12	Calcium Voltage-gated Channel Subunit Alpha1 C	Voltage-dependent L-type Calcium Channel Subunit Alpha-1C	ENSG00000151067	Q13936	0.03137	0.0732233	1	By_ingredient	0.1929	乌梅
SMTT00446	CACNA1D	3	Calcium Voltage-gated Channel Subunit Alpha1 D	Voltage-dependent L-type Calcium Channel Subunit Alpha-1D	ENSG00000157388	Q01668	0.0210234	0.0627405	1	By_ingredient	0.1736	乌梅
SMTT00447	CACNA1F	X	Calcium Voltage-gated Channel Subunit Alpha1 F	Voltage-dependent L-type Calcium Channel Subunit Alpha-1F	ENSG00000102001	O60840	0.0158091	0.0563531	1	By_ingredient	0.1911	乌梅
SMTT00448	CACNA1G	17	Calcium Voltage-gated Channel Subunit Alpha1 G	Voltage-dependent T-type Calcium Channel Subunit Alpha-1G	ENSG00000006283	O43497	0.0105671	0.0485443	1	By_ingredient	0.1956	乌梅
SMTT00449	CACNA1H	None	calcium voltage-gated channel subunit alpha1 H	Voltage-dependent T-type Calcium Channel Subunit Alpha-1H	ENSG00000196557	O95180	0.0365025	0.0781968	1	By_ingredient	0.1825	乌梅
SMTT00461	CALM3	19	Calmodulin 3	None	ENSG00000160014	None	0.0279345	0.0486704	1	By_ingredient	0.3301	乌梅
SMTT00477	CASP1	None	caspase 1	Caspase-1	ENSG00000137752	P29466	0.00611121	0.0208847	1	By_ingredient	0.1412	乌梅
SMTT00480	CASP3	None	caspase 3	Caspase-3	ENSG00000164305	P42574	1.2017e-06	0.000106591	0.496925	By_ingredient	1.7674	乌梅
SMTT00482	CASP8	2	Caspase 8	Caspase-8	ENSG00000064012	Q14790	0.000177477	0.00493759	1	By_ingredient	0.6855	乌梅
SMTT00487	CAT	11	Catalase	Catalase	ENSG00000121691	P04040	0.000153353	0.00446402	1	By_ingredient	0.7348	乌梅
SMTT00488	CATSPER1	11	Cation Channel Sperm Associated 1	None	ENSG00000175294	None	0.0158091	0.0563531	1	By_ingredient	0.1926	乌梅
SMTT00490	CAV1	7	Caveolin 1	None	ENSG00000105974	None	0.0162157	0.0346572	1	By_ingredient	0.1295	乌梅
SMTT00494	CBS	21	Cystathionine-beta-synthase	Cystathionine Beta-synthase	ENSG00000160200	P35520	0.00359659	0.0317573	1	By_ingredient	0.3623	乌梅
SMTT00516	CCL2	None	C-C motif chemokine ligand 2	C-C Motif Chemokine 2	ENSG00000108691	P13500	0.000397345	0.00857253	1	By_ingredient	0.5597	乌梅
SMTT00520	CCNA2	None	cyclin A2	Cyclin-A2	ENSG00000145386	P20248	0.0102867	0.0478364	1	By_ingredient	2.2153	乌梅
SMTT00521	CCND1	11	Cyclin D1	G1/S-specific Cyclin-D1	ENSG00000110092	P24385	9.84502e-05	0.00144225	1	By_ingredient	0.3808	乌梅
SMTT00522	CCND2	12	Cyclin D2	None	ENSG00000118971	None	0.00814017	0.0240483	1	By_ingredient	0.1456	乌梅
SMTT00526	CCR2	None	C-C motif chemokine receptor 2	C-C Chemokine Receptor Type 2	ENSG00000121807	P41597	0.0333218	0.0751017	1	By_ingredient	0.3457	乌梅
SMTT00527	CCR5	None	C-C motif chemokine receptor 5 (gene/pseudogene)	C-C Chemokine Receptor Type 5	ENSG00000160791	P51681	0.0344615	0.0759944	1	By_ingredient	0.3401	乌梅
SMTT00546	CD40	20	CD40 Molecule	Tumor Necrosis Factor Receptor Superfamily Member 5	ENSG00000101017	P25942	0.0101651	0.0269299	1	By_ingredient	0.1702	乌梅
SMTT00547	CD40LG	X	CD40 Ligand	CD40 Ligand	ENSG00000102245	P29965	0.0101651	0.0269299	1	By_ingredient	0.1634	乌梅
SMTT00551	CD79B	17	CD79b Molecule	None	ENSG00000007312	None	0.0105671	0.0485443	1	By_ingredient	0.1985	乌梅
SMTT00552	CD80	None	CD80 molecule	T-lymphocyte Activation Antigen CD80	ENSG00000121594	P33681	0.0162157	0.0346572	1	By_ingredient	0.1675	乌梅
SMTT00554	CD86	None	CD86 molecule	T-lymphocyte Activation Antigen CD86	ENSG00000114013	P42081	8.47575e-05	0.00130455	1	By_ingredient	0.3371	乌梅
SMTT00569	CDK2	None	cyclin dependent kinase 2	Cyclin-dependent Kinase 2	ENSG00000123374	P24941	0.000654419	0.0120044	1	By_ingredient	3.305	乌梅
SMTT00570	CDK4	12	Cyclin Dependent Kinase 4	Cyclin-dependent Kinase 4	ENSG00000135446	P11802	0.00170432	0.010539	1	By_ingredient	0.2594	乌梅
SMTT00574	CDK6	7	Cyclin Dependent Kinase 6	Cyclin-dependent Kinase 6	ENSG00000105810	Q00534	0.00771704	0.037149	1	By_ingredient	0.3188	乌梅
SMTT00575	CDK7	None	cyclin dependent kinase 7	Cyclin-dependent Kinase 7	ENSG00000134058	P50613	0.0365025	0.0781968	1	By_ingredient	0.1992	乌梅
SMTT00577	CDKN1A	6	Cyclin Dependent Kinase Inhibitor 1A	Cyclin-dependent Kinase Inhibitor 1	ENSG00000124762	P38936	0.00380458	0.0166443	1	By_ingredient	0.3807	乌梅
SMTT00580	CDKN2A	9	Cyclin Dependent Kinase Inhibitor 2A	None	ENSG00000147889	None	0.000763981	0.0133142	1	By_ingredient	0.3103	乌梅
SMTT00612	CETP	16	Cholesteryl Ester Transfer Protein	Cholesteryl Ester Transfer Protein	ENSG00000087237	P11597	0.0466867	0.0880778	1	By_ingredient	0.1288	乌梅
SMTT00622	CFTR	7	Cystic Fibrosis Transmembrane Conductance Regulator	Cystic Fibrosis Transmembrane Conductance Regulator	ENSG00000001626	P13569	0.00547715	0.0378448	1	By_ingredient	0.4757	乌梅
SMTT00628	CHEK2	22	Checkpoint Kinase 2	Serine/threonine-protein Kinase Chk2	ENSG00000183765	O96017	2.32664e-05	0.00112593	1	By_ingredient	0.4817	乌梅
SMTT00636	CHRM1	None	cholinergic receptor muscarinic 1	Muscarinic Acetylcholine Receptor M1	ENSG00000168539	P11229	0.00657306	0.0240938	1	By_ingredient	2.4449	乌梅
SMTT00637	CHRM3	1	Cholinergic Receptor Muscarinic 3	Muscarinic Acetylcholine Receptor M3	ENSG00000133019	P20309	0.0157274	0.056223	1	By_ingredient	1.8866	乌梅
SMTT00654	CHUK	10	Conserved Helix-loop-helix Ubiquitous Kinase	Inhibitor Of Nuclear Factor Kappa-B Kinase Subunit Alpha	ENSG00000213341	O15111	0.00318448	0.0269299	1	By_ingredient	0.2708	乌梅
SMTT00675	CLEC7A	12	C-type Lectin Domain Containing 7A	None	ENSG00000172243	None	0.0466867	0.0880778	1	By_ingredient	0.1859	乌梅
SMTT00721	COL1A1	17	Collagen Type I Alpha 1 Chain	Collagen Alpha-1(I) Chain	ENSG00000108821	P02452	0.000312382	0.00323282	1	By_ingredient	0.2695	乌梅
SMTT00726	COL3A1	2	Collagen Type III Alpha 1 Chain	Collagen Alpha-1(III) Chain	ENSG00000168542	P02461	0.0142029	0.0324091	1	By_ingredient	0.1455	乌梅
SMTT00770	CPA1	7	Carboxypeptidase A1	Carboxypeptidase A1	ENSG00000091704	P15085	0.0014851	0.0199247	1	By_ingredient	0.389	乌梅
SMTT00771	CPA6	8	Carboxypeptidase A6	None	ENSG00000165078	None	0.041608	0.0831951	1	By_ingredient	0.2187	乌梅
SMTT00775	CPOX	3	Coproporphyrinogen Oxidase	None	ENSG00000080819	None	0.0158091	0.0563531	1	By_ingredient	0.1897	乌梅
SMTT00786	CREB1	2	CAMP Responsive Element Binding Protein 1	Cyclic AMP-responsive Element-binding Protein 1	ENSG00000118260	P16220	0.0262201	0.0465612	1	By_ingredient	0.1373	乌梅
SMTT00793	CRP	None	C-reactive protein	C-reactive Protein	ENSG00000132693	P02741	0.00547715	0.0240483	1	By_ingredient	0.2985	乌梅
SMTT00797	CRYAB	11	Crystallin Alpha B	None	ENSG00000109846	None	0.0158091	0.0563531	1	By_ingredient	0.1746	乌梅
SMTT00808	CRYM	16	Crystallin Mu	Ketimine Reductase Mu-crystallin	ENSG00000103316	Q14894	0.0158091	0.0563531	1	By_ingredient	0.2107	乌梅
SMTT00809	CRYZ	None	crystallin zeta	Quinone Oxidoreductase	ENSG00000116791	Q08257	0.00204113	0.0118393	1	By_ingredient	0.1809	乌梅
SMTT00811	CSF2	None	colony stimulating factor 2	Granulocyte-macrophage Colony-stimulating Factor	ENSG00000164400	P04141	0.012186	0.0295348	1	By_ingredient	0.145	乌梅
SMTT00830	CTNNB1	3	Catenin Beta 1	Catenin Beta-1	ENSG00000168036	P35222	0.0356162	0.0770765	1	By_ingredient	0.2877	乌梅
SMTT00835	CTSA	20	Cathepsin A	None	ENSG00000064601	None	0.0365025	0.0781968	1	By_ingredient	0.1931	乌梅
SMTT00836	CTSB	None	cathepsin B	Cathepsin B	ENSG00000164733	P07858	0.00600406	0.0389653	1	By_ingredient	0.3043	乌梅
SMTT00838	CTSD	11	Cathepsin D	Cathepsin D	ENSG00000117984	P07339	0.000202567	0.00239019	1	By_ingredient	0.8056	乌梅
SMTT00849	CXCL10	None	C-X-C motif chemokine ligand 10	C-X-C Motif Chemokine 10	ENSG00000169245	P02778	0.00204113	0.0118393	1	By_ingredient	0.3604	乌梅
SMTT00851	CXCL8	None	C-X-C motif chemokine ligand 8	Interleukin-8	ENSG00000169429	P10145	0.000883898	0.00955431	1	By_ingredient	1.3598	乌梅
SMTT00865	CYP1A1	None	cytochrome P450 family 1 subfamily A member 1	Cytochrome P450 1A1	ENSG00000140465	P04798	2.22725e-05	0.000502902	1	By_ingredient	0.9974	乌梅
SMTT00866	CYP1A2	None	cytochrome P450 family 1 subfamily A member 2	Cytochrome P450 1A2	ENSG00000140505	P05177	0.000608805	0.00509173	1	By_ingredient	0.6674	乌梅
SMTT00867	CYP1B1	2	Cytochrome P450 Family 1 Subfamily B Member 1	Cytochrome P450 1B1	ENSG00000138061	Q16678	1.56888e-07	1.18091e-05	0.0138757	By_ingredient	0.5144	乌梅
SMTT00883	CYP3A4	None	cytochrome P450 family 3 subfamily A member 4	Cytochrome P450 3A4	ENSG00000160868	P08684	0.00181951	0.0110188	1	By_ingredient	0.4624	乌梅
SMTT00895	DAO	12	D-amino Acid Oxidase	D-amino-acid Oxidase	ENSG00000110887	P14920	0.00359659	0.0317573	1	By_ingredient	0.3711	乌梅
SMTT00910	DCLRE1C	10	DNA Cross-link Repair 1C	None	ENSG00000152457	None	0.0052975	0.0372111	1	By_ingredient	0.2096	乌梅
SMTT00951	DIP2B	12	Disco Interacting Protein 2 Homolog B	None	ENSG00000066084	None	0.0105671	0.0485443	1	By_ingredient	0.2092	乌梅
SMTT00955	DKC1	X	Dyskerin Pseudouridine Synthase 1	None	ENSG00000130826	None	0.0262104	0.0680322	1	By_ingredient	0.1858	乌梅
SMTT00971	DMPK	19	DM1 Protein Kinase	Myotonin-protein Kinase	ENSG00000104936	Q09013	0.0105671	0.0485443	1	By_ingredient	0.1941	乌梅
SMTT00988	DNAJC19	3	DnaJ Heat Shock Protein Family (Hsp40) Member C19	None	ENSG00000205981	None	0.0210234	0.0627405	1	By_ingredient	0.1974	乌梅
SMTT00995	DNM1L	12	Dynamin 1 Like	None	ENSG00000087470	None	0.00243171	0.0261241	1	By_ingredient	0.3978	乌梅
SMTT00997	DNMT1	19	DNA Methyltransferase 1	DNA (cytosine-5)-methyltransferase 1	ENSG00000130816	P26358	0.0083313	0.0442766	1	By_ingredient	0.2879	乌梅
SMTT01000	DNPEP	None	aspartyl aminopeptidase	Aspartyl Aminopeptidase	ENSG00000123992	Q9ULA0	0.0105671	0.0485443	1	By_ingredient	0.1607	乌梅
SMTT01009	DPM1	20	Dolichyl-phosphate Mannosyltransferase Subunit 1, Catalytic	None	ENSG00000000419	None	0.0105671	0.0485443	1	By_ingredient	0.1843	乌梅
SMTT01015	DPYS	8	Dihydropyrimidinase	None	ENSG00000147647	None	0.0210234	0.0627405	1	By_ingredient	0.2028	乌梅
SMTT01033	DUOX2	15	Dual Oxidase 2	None	ENSG00000140279	None	9.36007e-07	4.65524e-05	0.0827237	By_ingredient	0.4304	乌梅
SMTT01049	ECEL1	2	Endothelin Converting Enzyme Like 1	None	ENSG00000171551	None	0.0052975	0.0372111	1	By_ingredient	0.1991	乌梅
SMTT01069	EGF	4	Epidermal Growth Factor	Pro-epidermal Growth Factor	ENSG00000138798	P01133	0.0162157	0.0346572	1	By_ingredient	0.1373	乌梅
SMTT01070	EGFR	7	Epidermal Growth Factor Receptor	Epidermal Growth Factor Receptor	ENSG00000146648	P00533	0.00478711	0.0353933	1	By_ingredient	0.4047	乌梅
SMTT01071	EGLN1	1	Egl-9 Family Hypoxia Inducible Factor 1	Egl Nine Homolog 1	ENSG00000135766	Q9GZT9	0.0466867	0.0880778	1	By_ingredient	0.2107	乌梅
SMTT01072	EGR2	10	Early Growth Response 2	None	ENSG00000122877	None	0.0466867	0.0880778	1	By_ingredient	0.1913	乌梅
SMTT01084	EIF6	None	eukaryotic translation initiation factor 6	Eukaryotic Translation Initiation Factor 6	ENSG00000242372	P56537	0.0575719	0.0805505	1	By_ingredient	0.3061	乌梅
SMTT01102	ENO3	17	Enolase 3	Beta-enolase	ENSG00000108515	P13929	0.0262104	0.0680322	1	By_ingredient	0.195	乌梅
