From	To
DDX6_HUMAN	DDX6
CATL2_HUMAN	CTSV
Q62986	Esr2
SRC_HUMAN	SRC
NGAL_HUMAN	LCN2
PH4H_HUMAN	PAH
KC1G2_HUMAN	CSNK1G2
P04745	AMY1A
P04745	AMY1B
P04745	AMY1C
LEG7_HUMAN	LGALS7
LEG7_HUMAN	LGALS7B
Q13126	MTAP
P00736	C1R
BMP7_HUMAN	BMP7
O15496	PLA2G10
P00517	PRKACA
PNPH_HUMAN	PNP
TYPH_HUMAN	TYMP
EST1_HUMAN	CES1
P17707	AMD1
VGFR2_HUMAN	KDR
TPIS_HUMAN	TPI1
O00244	ATOX1
UROK_HUMAN	PLAU
FGFR1_HUMAN	FGFR1
FA7_HUMAN	F7
Q15382	RHEB
P61586	RHOA
AMYP_HUMAN	AMY2A
Q9UKM7	MAN1B1
P32589	SSE1
ADK_HUMAN	ADK
RAB5A_HUMAN	RAB5A
AK1C2_HUMAN	AKR1C2
FABP4_HUMAN	FABP4
B3GA1_HUMAN	B3GAT1
P35520	CBS
P07741	APRT
NOS2_HUMAN	NOS2
CCL5_HUMAN	CCL5
ARSA_HUMAN	ARSA
RASH_HUMAN	HRAS
ALDOA_HUMAN	ALDOA
TGM3_HUMAN	TGM3
Q16772	GSTA3
IL2_HUMAN	IL2
EPHA2_HUMAN	EPHA2
RB11A_HUMAN	RAB11A
P61626	LYZ
P03956	MMP1
RARA_HUMAN	RARA
ELNE_HUMAN	ELANE
HINT1_HUMAN	HINT1
KTHY_HUMAN	DTYMK
LEG3_HUMAN	LGALS3
P19623	SRM
P46926	GNPDA1
Q16775	HAGH
GMPR1_HUMAN	GMPR
ARGI2_HUMAN	ARG2
FA11_HUMAN	F11
KPYR_HUMAN	PKLR
Q00169	PITPNA
Q96T66	NMNAT3
P51151	RAB9A
Q9NPB1	NT5M
P24752	ACAT1
Q8IV48	ERI1
Q9NZD2	GLTP
LYAM2_HUMAN	SELE
STAT1_HUMAN	STAT1
P85A_HUMAN	PIK3R1
P61587	RND3
P07359	GP1BA
PNMT_HUMAN	PNMT
RAN_HUMAN	RAN
PUR9_HUMAN	ATIC
Q969G6	RFK
APAF_HUMAN	APAF1
DUT_HUMAN	DUT
P62937	PPIA
P33176	KIF5B
MAOM_HUMAN	ME2
CATB_HUMAN	CTSB
FGF1_HUMAN	FGF1
GALE_HUMAN	GALE
TPH1_HUMAN	TPH1
P08107	HSPA1A
P08107	HSPA1B
FAK1_HUMAN	PTK2
O43252	PAPSS1
FPPS_HUMAN	FDPS
P50613	CDK7
Q13423	NNT
P18085	ARF4
P08263	GSTA1
MK10_HUMAN	MAPK10
MK12_HUMAN	MAPK12
P54278	PMS2
RAF1_HUMAN	RAF1
P10153	RNASE2
P14210	HGF
NDKB_HUMAN	NME2
P07953	Pfkfb1
Q9BW91	NUDT9
CAH12_HUMAN	CA12
TGFR2_HUMAN	TGFBR2
P00918	CA2
FCAR_HUMAN	FCAR
P11142	HSPA8
ZA2G_HUMAN	AZGP1
IMPA1_HUMAN	IMPA1
GALK1_HUMAN	GALK1
BAG1_HUMAN	BAG1
DAPK1_HUMAN	DAPK1
CACP_HUMAN	CRAT
PPARG_HUMAN	PPARG
CDD_HUMAN	CDA
AKT1_HUMAN	AKT1
P68400	CSNK2A1
P07195	LDHB
P12724	RNASE3
O14965	AURKA
CASP3_HUMAN	CASP3
IGF1R_HUMAN	IGF1R
ACK1_HUMAN	TNK2
GSK3B_HUMAN	GSK3B
P09874	PARP1
P34096	RNASE4
P00742	F10
TGM2_HUMAN	TGM2
PYRD_HUMAN	DHODH
PPAP_HUMAN	ACP3
PAK6_HUMAN	PAK6
ST14_HUMAN	ST14
KAT1_HUMAN	KYAT1
Q9NP99	TREM1
LYAM3_HUMAN	SELP
Q9H2X3	CLEC4M
XIAP_HUMAN	XIAP
MK01_HUMAN	MAPK1
Q96CD2	PPCDC
Q9UBX1	CTSF
Q92831	KAT2B
P30043	BLVRB
O00204	SULT2B1
ADA33_HUMAN	ADAM33
Q9P2T1	GMPR2
Q15075	EEA1
HMOX1_HUMAN	HMOX1
PIMT_HUMAN	PCMT1
O43708	GSTZ1
Q8TEK3	DOT1L
Q16222	UAP1
BTK_HUMAN	BTK
RAC1_HUMAN	RAC1
SEPR_HUMAN	FAP
P53350	PLK1
MIF_HUMAN	MIF
P07360	C8G
P15153	RAC2
P48637	GSS
AKT2_HUMAN	AKT2
P20132	SDS
DHI1_HUMAN	HSD11B1
Q62639	Rheb
MMP16_HUMAN	MMP16
P52848	NDST1
P23677	ITPKA
LGUL_HUMAN	GLO1
RARG_HUMAN	RARG
Q7Z4W1	DCXR
OAT_HUMAN	OAT
P10114	RAP2A
QOR_HUMAN	CRYZ
P26440	IVD
AOFA_HUMAN	MAOA
BMP2_HUMAN	BMP2
P11309	PIM1
DHB11_HUMAN	HSD17B11
ADH1B_HUMAN	ADH1B
Q06520	SULT2A1
FNTA_HUMAN	FNTA
P53041	PPP5C
CASP7_HUMAN	CASP7
P08069	IGF1R
P01709	IGLV2-8
MMP7_HUMAN	MMP7
NQO2_HUMAN	NQO2
P08581	MET
FABP5_HUMAN	FABP5
PLGF_HUMAN	PGF
P00326	ADH1C
Q92731	ESR2
P17900	GM2A
BIRC7_HUMAN	BIRC7
MMP2_HUMAN	MMP2
P29373	CRABP2
SETD7_HUMAN	SETD7
MP2K1_HUMAN	MAP2K1
FOLH1_HUMAN	FOLH1
P08238	HSP90AB1
Q9NVS9	PNPO
DCAM_HUMAN	AMD1
NCS1_HUMAN	NCS1
AOFB_HUMAN	MAOB
ACE_HUMAN	ACE
KPCT_HUMAN	PRKCQ
CDC42_HUMAN	CDC42
P00747	PLG
PK3CG_HUMAN	PIK3CG
MK08_HUMAN	MAPK8
RORA_HUMAN	RORA
P56817	BACE1
P21802	FGFR2
PDK2_HUMAN	PDK2
NR1H3_HUMAN	NR1H3
Q9BY41	HDAC8
MDM2_HUMAN	MDM2
O76054	SEC14L2
Q04828	AKR1C1
P11474	ESRRA
P07900	HSP90AA1
P49638	TTPA
KSYK_HUMAN	SYK
RXRA_HUMAN	RXRA
RET4_HUMAN	RBP4
ITAL_HUMAN	ITGAL
NR1I3_HUMAN	NR1I3
O43617	TRAPPC3
P07602	PSAP
HEM2_HUMAN	ALAD
RARB_HUMAN	RARB
RXRB_HUMAN	RXRB
ANXA5_HUMAN	ANXA5
P36873	PPP1CC
CFAD_HUMAN	CFD
Q03181	PPARD
P02743	APCS
TPA_HUMAN	PLAT
CATG_HUMAN	CTSG
PADI4_HUMAN	PADI4
P37243	THRB
P06401	PGR
DPEP1_HUMAN	DPEP1
Q07817	BCL2L1
P52758	RIDA
PRDX5_HUMAN	PRDX5
GATM_HUMAN	GATM
ARGI1_HUMAN	ARG1
C1S_HUMAN	C1S
Q9H4M7	PLEKHA4
IMDH1_HUMAN	IMPDH1
Q8WVQ1	CANT1
Q03518	TAP1
Q9D4P0	Arl5b
P09012	SNRPA
CATD_HUMAN	CTSD
TRFL_HUMAN	LTF
P84077	ARF1
P15086	CPB1
FABPH_HUMAN	FABP3
Q14541	HNF4G
P28845	HSD11B1
FABP7_HUMAN	FABP7
CP2C8_HUMAN	CYP2C8
CATA_HUMAN	CAT
P19793	RXRA
Q96RI1	NR1H4
P23381	WARS1
Q13838	DDX39B
GRB2_HUMAN	GRB2
P16083	NQO2
CLPP_HUMAN	CLPP
QPCT_HUMAN	QPCT
P37231	PPARG
CSK_HUMAN	CSK
S10A9_HUMAN	S100A9
VTDB_HUMAN	GC
P53779	MAPK10
P55263	ADK
Q9UKL6	PCTP
EPCR_HUMAN	PROCR
WASP_HUMAN	WAS
P63316	TNNC1
MET_HUMAN	MET
Q9Y468	L3MBTL1
P78330	PSPH
ACE2_HUMAN	ACE2
ERR3_HUMAN	ESRRG
CRP_HUMAN	CRP
GSTO1_HUMAN	GSTO1
G6PD_HUMAN	G6PD
P07711	CTSL
ST1A1_HUMAN	SULT1A1
SPRC_HUMAN	SPARC
P45983	MAPK8
P07477	PRSS1
P04150	NR3C1
PPARD_HUMAN	PPARD
ATS4_HUMAN	ADAMTS4
RTN4R_HUMAN	RTN4R
P29274	ADORA2A
P22894	MMP8
P35270	SPR
P18031	PTPN1
APOA_HUMAN	LPA
GLRX1_HUMAN	GLRX
ANPRC_HUMAN	NPR3
